date,cheminee bois,isPartial
2018-01-07,48,False
2018-01-14,32,False
2018-01-21,63,False
2018-01-28,33,False
2018-02-04,32,False
2018-02-11,43,False
2018-02-18,49,False
2018-02-25,31,False
2018-03-04,63,False
2018-03-11,63,False
2018-03-18,65,False
2018-03-25,33,False
2018-04-01,50,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,68,False
2018-04-29,100,False
2018-05-06,0,False
2018-05-13,55,False
2018-05-20,34,False
2018-05-27,33,False
2018-06-03,50,False
2018-06-10,33,False
2018-06-17,0,False
2018-06-24,34,False
2018-07-01,50,False
2018-07-08,0,False
2018-07-15,36,False
2018-07-22,36,False
2018-07-29,36,False
2018-08-05,0,False
2018-08-12,38,False
2018-08-19,73,False
2018-08-26,35,False
2018-09-02,34,False
2018-09-09,69,False
2018-09-16,86,False
2018-09-23,46,False
2018-09-30,68,False
2018-10-07,68,False
2018-10-14,35,False
2018-10-21,82,False
2018-10-28,86,False
2018-11-04,44,False
2018-11-11,68,False
2018-11-18,82,False
2018-11-25,33,False
2018-12-02,50,False
2018-12-09,33,False
2018-12-16,51,False
2018-12-23,56,False
2018-12-30,69,False
2019-01-06,81,False
2019-01-13,33,False
2019-01-20,47,False
2019-01-27,62,False
2019-02-03,53,False
2019-02-10,32,False
2019-02-17,34,False
2019-02-24,33,False
2019-03-03,63,False
2019-03-10,32,False
2019-03-17,33,False
2019-03-24,32,False
2019-03-31,31,False
2019-04-07,41,False
2019-04-14,43,False
2019-04-21,32,False
2019-04-28,46,False
2019-05-05,60,False
2019-05-12,92,False
2019-05-19,31,False
2019-05-26,0,False
2019-06-02,31,False
2019-06-09,30,False
2019-06-16,32,False
2019-06-23,31,False
2019-06-30,32,False
2019-07-07,30,False
2019-07-14,32,False
2019-07-21,0,False
2019-07-28,33,False
2019-08-04,33,False
2019-08-11,35,False
2019-08-18,53,False
2019-08-25,49,False
2019-09-01,45,False
2019-09-08,60,False
2019-09-15,30,False
2019-09-22,30,False
2019-09-29,76,False
2019-10-06,76,False
2019-10-13,0,False
2019-10-20,30,False
2019-10-27,58,False
2019-11-03,43,False
2019-11-10,38,False
2019-11-17,95,False
2019-11-24,55,False
2019-12-01,55,False
2019-12-08,55,False
2019-12-15,56,False
2019-12-22,62,False
2019-12-29,44,False
2020-01-05,42,False
2020-01-12,37,False
2020-01-19,46,False
2020-01-26,53,False
2020-02-02,45,False
2020-02-09,27,False
2020-02-16,52,False
2020-02-23,52,False
2020-03-01,35,False
2020-03-08,26,False
2020-03-15,0,False
2020-03-22,36,False
2020-03-29,24,False
2020-04-05,49,False
2020-04-12,0,False
2020-04-19,41,False
2020-04-26,31,False
2020-05-03,24,False
2020-05-10,49,False
2020-05-17,62,True
