date,Metallbau,isPartial
2018-01-07,0,False
2018-01-14,49,False
2018-01-21,22,False
2018-01-28,22,False
2018-02-04,45,False
2018-02-11,23,False
2018-02-18,48,False
2018-02-25,25,False
2018-03-04,33,False
2018-03-11,21,False
2018-03-18,44,False
2018-03-25,23,False
2018-04-01,0,False
2018-04-08,62,False
2018-04-15,45,False
2018-04-22,22,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,43,False
2018-05-20,45,False
2018-05-27,0,False
2018-06-03,32,False
2018-06-10,21,False
2018-06-17,64,False
2018-06-24,43,False
2018-07-01,22,False
2018-07-08,24,False
2018-07-15,24,False
2018-07-22,25,False
2018-07-29,30,False
2018-08-05,0,False
2018-08-12,35,False
2018-08-19,29,False
2018-08-26,26,False
2018-09-02,23,False
2018-09-09,23,False
2018-09-16,26,False
2018-09-23,0,False
2018-09-30,21,False
2018-10-07,23,False
2018-10-14,37,False
2018-10-21,28,False
2018-10-28,25,False
2018-11-04,0,False
2018-11-11,44,False
2018-11-18,66,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,36,False
2018-12-16,25,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,34,False
2019-01-20,47,False
2019-01-27,21,False
2019-02-03,21,False
2019-02-10,42,False
2019-02-17,30,False
2019-02-24,0,False
2019-03-03,22,False
2019-03-10,20,False
2019-03-17,20,False
2019-03-24,20,False
2019-03-31,32,False
2019-04-07,0,False
2019-04-14,41,False
2019-04-21,67,False
2019-04-28,20,False
2019-05-05,56,False
2019-05-12,19,False
2019-05-19,57,False
2019-05-26,21,False
2019-06-02,21,False
2019-06-09,32,False
2019-06-16,45,False
2019-06-23,62,False
2019-06-30,43,False
2019-07-07,43,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,48,False
2019-08-04,24,False
2019-08-11,23,False
2019-08-18,43,False
2019-08-25,31,False
2019-09-01,40,False
2019-09-08,52,False
2019-09-15,41,False
2019-09-22,20,False
2019-09-29,61,False
2019-10-06,20,False
2019-10-13,41,False
2019-10-20,41,False
2019-10-27,20,False
2019-11-03,20,False
2019-11-10,28,False
2019-11-17,0,False
2019-11-24,19,False
2019-12-01,100,False
2019-12-08,20,False
2019-12-15,41,False
2019-12-22,36,False
2019-12-29,76,False
2020-01-05,0,False
2020-01-12,33,False
2020-01-19,71,False
2020-01-26,20,False
2020-02-02,40,False
2020-02-09,0,False
2020-02-16,60,False
2020-02-23,20,False
2020-03-01,28,False
2020-03-08,18,False
2020-03-15,41,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,38,False
2020-04-12,0,False
2020-04-19,25,False
2020-04-26,23,False
2020-05-03,49,False
2020-05-10,24,False
2020-05-17,26,False
2020-05-24,51,False
2020-05-31,25,False
2020-06-07,31,False
2020-06-14,40,False
2020-06-21,20,False
2020-06-28,39,False
2020-07-05,43,False
