date,Kachelofeneinsatz,isPartial
2018-01-07,59,False
2018-01-14,57,False
2018-01-21,29,False
2018-01-28,59,False
2018-02-04,40,False
2018-02-11,30,False
2018-02-18,30,False
2018-02-25,45,False
2018-03-04,90,False
2018-03-11,44,False
2018-03-18,45,False
2018-03-25,32,False
2018-04-01,0,False
2018-04-08,31,False
2018-04-15,0,False
2018-04-22,30,False
2018-04-29,64,False
2018-05-06,32,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,65,False
2018-06-03,62,False
2018-06-10,30,False
2018-06-17,31,False
2018-06-24,30,False
2018-07-01,30,False
2018-07-08,0,False
2018-07-15,30,False
2018-07-22,30,False
2018-07-29,32,False
2018-08-05,33,False
2018-08-12,33,False
2018-08-19,34,False
2018-08-26,0,False
2018-09-02,32,False
2018-09-09,31,False
2018-09-16,92,False
2018-09-23,62,False
2018-09-30,62,False
2018-10-07,45,False
2018-10-14,60,False
2018-10-21,29,False
2018-10-28,75,False
2018-11-04,29,False
2018-11-11,29,False
2018-11-18,74,False
2018-11-25,48,False
2018-12-02,29,False
2018-12-09,100,False
2018-12-16,45,False
2018-12-23,34,False
2018-12-30,31,False
2019-01-06,41,False
2019-01-13,36,False
2019-01-20,27,False
2019-01-27,55,False
2019-02-03,37,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,29,False
2019-03-03,71,False
2019-03-10,54,False
2019-03-17,29,False
2019-03-24,28,False
2019-03-31,28,False
2019-04-07,28,False
2019-04-14,41,False
2019-04-21,30,False
2019-04-28,0,False
2019-05-05,41,False
2019-05-12,28,False
2019-05-19,28,False
2019-05-26,58,False
2019-06-02,57,False
2019-06-09,30,False
2019-06-16,30,False
2019-06-23,0,False
2019-06-30,28,False
2019-07-07,27,False
2019-07-14,28,False
2019-07-21,0,False
2019-07-28,30,False
2019-08-04,32,False
2019-08-11,30,False
2019-08-18,63,False
2019-08-25,32,False
2019-09-01,44,False
2019-09-08,48,False
2019-09-15,67,False
2019-09-22,55,False
2019-09-29,28,False
2019-10-06,27,False
2019-10-13,71,False
2019-10-20,27,False
2019-10-27,45,False
2019-11-03,52,False
2019-11-10,44,False
2019-11-17,39,False
2019-11-24,52,False
2019-12-01,27,False
2019-12-08,39,False
2019-12-15,27,False
2019-12-22,31,False
2019-12-29,69,False
2020-01-05,26,False
2020-01-12,74,False
2020-01-19,51,False
2020-01-26,25,False
2020-02-02,25,False
2020-02-09,62,False
2020-02-16,43,False
2020-02-23,75,False
2020-03-01,65,False
2020-03-08,23,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,30,False
2020-04-05,25,False
2020-04-12,24,False
2020-04-19,90,False
2020-04-26,33,False
2020-05-03,45,False
2020-05-10,22,False
