date,aide déménagement,isPartial
2018-01-07,57,False
2018-01-14,58,False
2018-01-21,0,False
2018-01-28,58,False
2018-02-04,57,False
2018-02-11,58,False
2018-02-18,59,False
2018-02-25,0,False
2018-03-04,61,False
2018-03-11,59,False
2018-03-18,0,False
2018-03-25,60,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,61,False
2018-04-22,59,False
2018-04-29,63,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,61,False
2018-05-27,58,False
2018-06-03,0,False
2018-06-10,55,False
2018-06-17,59,False
2018-06-24,60,False
2018-07-01,0,False
2018-07-08,61,False
2018-07-15,64,False
2018-07-22,64,False
2018-07-29,64,False
2018-08-05,65,False
2018-08-12,66,False
2018-08-19,63,False
2018-08-26,61,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,60,False
2018-09-23,61,False
2018-09-30,0,False
2018-10-07,61,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,60,False
2018-11-04,58,False
2018-11-11,0,False
2018-11-18,55,False
2018-11-25,54,False
2018-12-02,0,False
2018-12-09,56,False
2018-12-16,57,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,55,False
2019-01-13,0,False
2019-01-20,56,False
2019-01-27,0,False
2019-02-03,56,False
2019-02-10,0,False
2019-02-17,60,False
2019-02-24,57,False
2019-03-03,54,False
2019-03-10,57,False
2019-03-17,59,False
2019-03-24,0,False
2019-03-31,59,False
2019-04-07,0,False
2019-04-14,62,False
2019-04-21,59,False
2019-04-28,57,False
2019-05-05,57,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,54,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,57,False
2019-06-30,59,False
2019-07-07,0,False
2019-07-14,58,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,57,False
2019-08-18,60,False
2019-08-25,0,False
2019-09-01,56,False
2019-09-08,56,False
2019-09-15,0,False
2019-09-22,53,False
2019-09-29,53,False
2019-10-06,53,False
2019-10-13,0,False
2019-10-20,53,False
2019-10-27,51,False
2019-11-03,0,False
2019-11-10,52,False
2019-11-17,0,False
2019-11-24,50,False
2019-12-01,52,False
2019-12-08,51,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,56,False
2020-01-05,0,False
2020-01-12,49,False
2020-01-19,51,False
2020-01-26,50,False
2020-02-02,50,False
2020-02-09,49,False
2020-02-16,100,False
2020-02-23,49,False
2020-03-01,0,False
2020-03-08,96,False
2020-03-15,0,False
2020-03-22,40,False
2020-03-29,41,False
2020-04-05,40,False
2020-04-12,0,False
2020-04-19,41,False
2020-04-26,0,False
2020-05-03,39,False
2020-05-10,43,False
2020-05-17,0,True
