date,paysagiste terrasse,isPartial
2018-01-07,46,False
2018-01-14,23,False
2018-01-21,35,False
2018-01-28,47,False
2018-02-04,34,False
2018-02-11,35,False
2018-02-18,24,False
2018-02-25,24,False
2018-03-04,70,False
2018-03-11,39,False
2018-03-18,39,False
2018-03-25,48,False
2018-04-01,64,False
2018-04-08,47,False
2018-04-15,89,False
2018-04-22,37,False
2018-04-29,48,False
2018-05-06,25,False
2018-05-13,24,False
2018-05-20,72,False
2018-05-27,23,False
2018-06-03,70,False
2018-06-10,23,False
2018-06-17,32,False
2018-06-24,24,False
2018-07-01,23,False
2018-07-08,24,False
2018-07-15,34,False
2018-07-22,51,False
2018-07-29,51,False
2018-08-05,43,False
2018-08-12,35,False
2018-08-19,38,False
2018-08-26,73,False
2018-09-02,36,False
2018-09-09,24,False
2018-09-16,48,False
2018-09-23,24,False
2018-09-30,24,False
2018-10-07,48,False
2018-10-14,36,False
2018-10-21,24,False
2018-10-28,0,False
2018-11-04,23,False
2018-11-11,31,False
2018-11-18,23,False
2018-11-25,23,False
2018-12-02,24,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,55,False
2018-12-30,39,False
2019-01-06,23,False
2019-01-13,0,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,23,False
2019-02-10,35,False
2019-02-17,61,False
2019-02-24,40,False
2019-03-03,23,False
2019-03-10,69,False
2019-03-17,32,False
2019-03-24,61,False
2019-03-31,58,False
2019-04-07,48,False
2019-04-14,81,False
2019-04-21,32,False
2019-04-28,23,False
2019-05-05,69,False
2019-05-12,23,False
2019-05-19,34,False
2019-05-26,46,False
2019-06-02,36,False
2019-06-09,45,False
2019-06-16,31,False
2019-06-23,46,False
2019-06-30,38,False
2019-07-07,80,False
2019-07-14,24,False
2019-07-21,24,False
2019-07-28,25,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,49,False
2019-08-25,70,False
2019-09-01,30,False
2019-09-08,67,False
2019-09-15,22,False
2019-09-22,32,False
2019-09-29,21,False
2019-10-06,0,False
2019-10-13,22,False
2019-10-20,33,False
2019-10-27,21,False
2019-11-03,32,False
2019-11-10,21,False
2019-11-17,21,False
2019-11-24,0,False
2019-12-01,21,False
2019-12-08,21,False
2019-12-15,21,False
2019-12-22,47,False
2019-12-29,23,False
2020-01-05,55,False
2020-01-12,30,False
2020-01-19,28,False
2020-01-26,100,False
2020-02-02,61,False
2020-02-09,31,False
2020-02-16,72,False
2020-02-23,60,False
2020-03-01,29,False
2020-03-08,32,False
2020-03-15,19,False
2020-03-22,18,False
2020-03-29,36,False
2020-04-05,48,False
2020-04-12,74,False
2020-04-19,67,False
2020-04-26,34,False
2020-05-03,35,False
2020-05-10,67,False
2020-05-17,65,False
2020-05-24,57,False
2020-05-31,36,False
2020-06-07,24,False
2020-06-14,63,False
2020-06-21,86,True
