date,vestiti da sposa,isPartial
2018-01-07,77,False
2018-01-14,77,False
2018-01-21,85,False
2018-01-28,81,False
2018-02-04,41,False
2018-02-11,42,False
2018-02-18,43,False
2018-02-25,84,False
2018-03-04,72,False
2018-03-11,57,False
2018-03-18,45,False
2018-03-25,23,False
2018-04-01,63,False
2018-04-08,60,False
2018-04-15,24,False
2018-04-22,72,False
2018-04-29,46,False
2018-05-06,45,False
2018-05-13,52,False
2018-05-20,37,False
2018-05-27,37,False
2018-06-03,53,False
2018-06-10,65,False
2018-06-17,60,False
2018-06-24,37,False
2018-07-01,44,False
2018-07-08,15,False
2018-07-15,37,False
2018-07-22,45,False
2018-07-29,53,False
2018-08-05,46,False
2018-08-12,17,False
2018-08-19,53,False
2018-08-26,100,False
2018-09-02,79,False
2018-09-09,51,False
2018-09-16,44,False
2018-09-23,60,False
2018-09-30,59,False
2018-10-07,31,False
2018-10-14,15,False
2018-10-21,30,False
2018-10-28,100,False
2018-11-04,51,False
2018-11-11,15,False
2018-11-18,15,False
2018-11-25,30,False
2018-12-02,39,False
2018-12-09,32,False
2018-12-16,49,False
2018-12-23,18,False
2018-12-30,48,False
2019-01-06,44,False
2019-01-13,36,False
2019-01-20,48,False
2019-01-27,34,False
2019-02-03,21,False
2019-02-10,28,False
2019-02-17,35,False
2019-02-24,35,False
2019-03-03,14,False
2019-03-10,21,False
2019-03-17,36,False
2019-03-24,37,False
2019-03-31,28,False
2019-04-07,28,False
2019-04-14,15,False
2019-04-21,30,False
2019-04-28,21,False
2019-05-05,60,False
2019-05-12,0,False
2019-05-19,33,False
2019-05-26,52,False
2019-06-02,21,False
2019-06-09,57,False
2019-06-16,28,False
2019-06-23,58,False
2019-06-30,50,False
2019-07-07,29,False
2019-07-14,30,False
2019-07-21,22,False
2019-07-28,44,False
2019-08-04,0,False
2019-08-11,34,False
2019-08-18,45,False
2019-08-25,41,False
2019-09-01,33,False
2019-09-08,49,False
2019-09-15,56,False
2019-09-22,77,False
2019-09-29,27,False
2019-10-06,54,False
2019-10-13,27,False
2019-10-20,13,False
2019-10-27,33,False
2019-11-03,26,False
2019-11-10,13,False
2019-11-17,32,False
2019-11-24,32,False
2019-12-01,27,False
2019-12-08,14,False
2019-12-15,14,False
2019-12-22,62,False
2019-12-29,30,False
2020-01-05,26,False
2020-01-12,43,False
2020-01-19,32,False
2020-01-26,25,False
2020-02-02,12,False
2020-02-09,25,False
2020-02-16,19,False
2020-02-23,24,False
2020-03-01,29,False
2020-03-08,23,False
2020-03-15,34,False
2020-03-22,21,False
2020-03-29,27,False
2020-04-05,12,False
2020-04-12,35,False
2020-04-19,22,False
2020-04-26,38,True
