date,vestiti da sposa,isPartial
2018-01-07,66,False
2018-01-14,44,False
2018-01-21,55,False
2018-01-28,66,False
2018-02-04,43,False
2018-02-11,45,False
2018-02-18,22,False
2018-02-25,46,False
2018-03-04,23,False
2018-03-11,46,False
2018-03-18,70,False
2018-03-25,38,False
2018-04-01,26,False
2018-04-08,0,False
2018-04-15,35,False
2018-04-22,75,False
2018-04-29,24,False
2018-05-06,0,False
2018-05-13,35,False
2018-05-20,72,False
2018-05-27,25,False
2018-06-03,49,False
2018-06-10,88,False
2018-06-17,46,False
2018-06-24,57,False
2018-07-01,35,False
2018-07-08,23,False
2018-07-15,36,False
2018-07-22,69,False
2018-07-29,46,False
2018-08-05,55,False
2018-08-12,22,False
2018-08-19,21,False
2018-08-26,44,False
2018-09-02,22,False
2018-09-09,35,False
2018-09-16,44,False
2018-09-23,100,False
2018-09-30,45,False
2018-10-07,58,False
2018-10-14,35,False
2018-10-21,47,False
2018-10-28,23,False
2018-11-04,23,False
2018-11-11,24,False
2018-11-18,60,False
2018-11-25,24,False
2018-12-02,25,False
2018-12-09,25,False
2018-12-16,26,False
2018-12-23,27,False
2018-12-30,36,False
2019-01-06,57,False
2019-01-13,23,False
2019-01-20,43,False
2019-01-27,0,False
2019-02-03,54,False
2019-02-10,66,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,35,False
2019-03-10,45,False
2019-03-17,45,False
2019-03-24,23,False
2019-03-31,33,False
2019-04-07,23,False
2019-04-14,23,False
2019-04-21,0,False
2019-04-28,56,False
2019-05-05,22,False
2019-05-12,22,False
2019-05-19,22,False
2019-05-26,0,False
2019-06-02,67,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,35,False
2019-06-30,0,False
2019-07-07,46,False
2019-07-14,0,False
2019-07-21,24,False
2019-07-28,23,False
2019-08-04,23,False
2019-08-11,46,False
2019-08-18,64,False
2019-08-25,41,False
2019-09-01,20,False
2019-09-08,65,False
2019-09-15,43,False
2019-09-22,43,False
2019-09-29,22,False
2019-10-06,43,False
2019-10-13,34,False
2019-10-20,21,False
2019-10-27,44,False
2019-11-03,32,False
2019-11-10,0,False
2019-11-17,33,False
2019-11-24,0,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,25,False
2019-12-29,0,False
2020-01-05,33,False
2020-01-12,21,False
2020-01-19,21,False
2020-01-26,42,False
2020-02-02,20,False
2020-02-09,0,False
2020-02-16,43,False
2020-02-23,20,False
2020-03-01,60,False
2020-03-08,28,False
2020-03-15,36,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,17,False
2020-04-26,30,True
