date,Malerarbeiten,isPartial
2018-01-07,30,False
2018-01-14,45,False
2018-01-21,37,False
2018-01-28,38,False
2018-02-04,91,False
2018-02-11,46,False
2018-02-18,0,False
2018-02-25,23,False
2018-03-04,30,False
2018-03-11,45,False
2018-03-18,23,False
2018-03-25,83,False
2018-04-01,23,False
2018-04-08,31,False
2018-04-15,23,False
2018-04-22,22,False
2018-04-29,70,False
2018-05-06,0,False
2018-05-13,34,False
2018-05-20,31,False
2018-05-27,43,False
2018-06-03,34,False
2018-06-10,22,False
2018-06-17,22,False
2018-06-24,34,False
2018-07-01,23,False
2018-07-08,24,False
2018-07-15,25,False
2018-07-22,36,False
2018-07-29,34,False
2018-08-05,21,False
2018-08-12,0,False
2018-08-19,36,False
2018-08-26,37,False
2018-09-02,34,False
2018-09-09,30,False
2018-09-16,45,False
2018-09-23,45,False
2018-09-30,47,False
2018-10-07,35,False
2018-10-14,30,False
2018-10-21,36,False
2018-10-28,0,False
2018-11-04,21,False
2018-11-11,22,False
2018-11-18,32,False
2018-11-25,67,False
2018-12-02,51,False
2018-12-09,67,False
2018-12-16,46,False
2018-12-23,0,False
2018-12-30,57,False
2019-01-06,21,False
2019-01-13,28,False
2019-01-20,31,False
2019-01-27,63,False
2019-02-03,70,False
2019-02-10,54,False
2019-02-17,53,False
2019-02-24,44,False
2019-03-03,21,False
2019-03-10,31,False
2019-03-17,22,False
2019-03-24,43,False
2019-03-31,33,False
2019-04-07,38,False
2019-04-14,24,False
2019-04-21,22,False
2019-04-28,32,False
2019-05-05,21,False
2019-05-12,29,False
2019-05-19,43,False
2019-05-26,54,False
2019-06-02,42,False
2019-06-09,42,False
2019-06-16,21,False
2019-06-23,22,False
2019-06-30,0,False
2019-07-07,22,False
2019-07-14,35,False
2019-07-21,47,False
2019-07-28,0,False
2019-08-04,22,False
2019-08-11,40,False
2019-08-18,21,False
2019-08-25,0,False
2019-09-01,20,False
2019-09-08,41,False
2019-09-15,62,False
2019-09-22,31,False
2019-09-29,21,False
2019-10-06,42,False
2019-10-13,71,False
2019-10-20,27,False
2019-10-27,20,False
2019-11-03,32,False
2019-11-10,20,False
2019-11-17,100,False
2019-11-24,51,False
2019-12-01,45,False
2019-12-08,57,False
2019-12-15,20,False
2019-12-22,0,False
2019-12-29,30,False
2020-01-05,18,False
2020-01-12,72,False
2020-01-19,38,False
2020-01-26,19,False
2020-02-02,46,False
2020-02-09,18,False
2020-02-16,47,False
2020-02-23,47,False
2020-03-01,28,False
2020-03-08,17,False
2020-03-15,34,False
2020-03-22,43,False
2020-03-29,28,False
2020-04-05,38,False
2020-04-12,45,False
2020-04-19,52,False
2020-04-26,34,False
2020-05-03,52,False
2020-05-10,34,False
2020-05-17,40,True
