date,giochi per feste,isPartial
2018-01-07,60,False
2018-01-14,96,False
2018-01-21,80,False
2018-01-28,72,False
2018-02-04,100,False
2018-02-11,65,False
2018-02-18,35,False
2018-02-25,21,False
2018-03-04,14,False
2018-03-11,64,False
2018-03-18,43,False
2018-03-25,46,False
2018-04-01,31,False
2018-04-08,58,False
2018-04-15,59,False
2018-04-22,23,False
2018-04-29,22,False
2018-05-06,58,False
2018-05-13,44,False
2018-05-20,80,False
2018-05-27,37,False
2018-06-03,44,False
2018-06-10,14,False
2018-06-17,29,False
2018-06-24,29,False
2018-07-01,29,False
2018-07-08,15,False
2018-07-15,37,False
2018-07-22,52,False
2018-07-29,30,False
2018-08-05,47,False
2018-08-12,17,False
2018-08-19,65,False
2018-08-26,45,False
2018-09-02,78,False
2018-09-09,64,False
2018-09-16,49,False
2018-09-23,36,False
2018-09-30,36,False
2018-10-07,44,False
2018-10-14,45,False
2018-10-21,65,False
2018-10-28,79,False
2018-11-04,49,False
2018-11-11,44,False
2018-11-18,50,False
2018-11-25,51,False
2018-12-02,51,False
2018-12-09,51,False
2018-12-16,53,False
2018-12-23,61,False
2018-12-30,55,False
2019-01-06,66,False
2019-01-13,64,False
2019-01-20,62,False
2019-01-27,74,False
2019-02-03,21,False
2019-02-10,97,False
2019-02-17,57,False
2019-02-24,28,False
2019-03-03,44,False
2019-03-10,21,False
2019-03-17,44,False
2019-03-24,51,False
2019-03-31,14,False
2019-04-07,64,False
2019-04-14,15,False
2019-04-21,54,False
2019-04-28,43,False
2019-05-05,55,False
2019-05-12,35,False
2019-05-19,28,False
2019-05-26,33,False
2019-06-02,28,False
2019-06-09,29,False
2019-06-16,29,False
2019-06-23,30,False
2019-06-30,22,False
2019-07-07,21,False
2019-07-14,37,False
2019-07-21,30,False
2019-07-28,30,False
2019-08-04,46,False
2019-08-11,49,False
2019-08-18,31,False
2019-08-25,35,False
2019-09-01,26,False
2019-09-08,48,False
2019-09-15,40,False
2019-09-22,93,False
2019-09-29,34,False
2019-10-06,48,False
2019-10-13,75,False
2019-10-20,46,False
2019-10-27,73,False
2019-11-03,45,False
2019-11-10,33,False
2019-11-17,39,False
2019-11-24,32,False
2019-12-01,14,False
2019-12-08,34,False
2019-12-15,27,False
2019-12-22,63,False
2019-12-29,30,False
2020-01-05,33,False
2020-01-12,37,False
2020-01-19,44,False
2020-01-26,44,False
2020-02-02,55,False
2020-02-09,45,False
2020-02-16,25,False
2020-02-23,30,False
2020-03-01,47,False
2020-03-08,11,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,11,False
2020-04-05,12,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,19,True
