date,Hausbaufirmen,isPartial
2018-01-07,60,False
2018-01-14,48,False
2018-01-21,48,False
2018-01-28,36,False
2018-02-04,25,False
2018-02-11,49,False
2018-02-18,25,False
2018-02-25,49,False
2018-03-04,60,False
2018-03-11,49,False
2018-03-18,61,False
2018-03-25,26,False
2018-04-01,39,False
2018-04-08,63,False
2018-04-15,78,False
2018-04-22,25,False
2018-04-29,26,False
2018-05-06,26,False
2018-05-13,24,False
2018-05-20,39,False
2018-05-27,25,False
2018-06-03,49,False
2018-06-10,48,False
2018-06-17,0,False
2018-06-24,37,False
2018-07-01,25,False
2018-07-08,25,False
2018-07-15,63,False
2018-07-22,77,False
2018-07-29,51,False
2018-08-05,51,False
2018-08-12,26,False
2018-08-19,25,False
2018-08-26,100,False
2018-09-02,37,False
2018-09-09,75,False
2018-09-16,37,False
2018-09-23,25,False
2018-09-30,50,False
2018-10-07,61,False
2018-10-14,86,False
2018-10-21,48,False
2018-10-28,48,False
2018-11-04,35,False
2018-11-11,49,False
2018-11-18,23,False
2018-11-25,24,False
2018-12-02,71,False
2018-12-09,24,False
2018-12-16,24,False
2018-12-23,56,False
2018-12-30,50,False
2019-01-06,46,False
2019-01-13,79,False
2019-01-20,22,False
2019-01-27,33,False
2019-02-03,34,False
2019-02-10,58,False
2019-02-17,70,False
2019-02-24,24,False
2019-03-03,57,False
2019-03-10,34,False
2019-03-17,47,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,46,False
2019-04-14,76,False
2019-04-21,25,False
2019-04-28,35,False
2019-05-05,45,False
2019-05-12,23,False
2019-05-19,35,False
2019-05-26,24,False
2019-06-02,23,False
2019-06-09,24,False
2019-06-16,48,False
2019-06-23,47,False
2019-06-30,35,False
2019-07-07,35,False
2019-07-14,36,False
2019-07-21,51,False
2019-07-28,37,False
2019-08-04,37,False
2019-08-11,35,False
2019-08-18,24,False
2019-08-25,47,False
2019-09-01,91,False
2019-09-08,47,False
2019-09-15,23,False
2019-09-22,45,False
2019-09-29,23,False
2019-10-06,34,False
2019-10-13,22,False
2019-10-20,22,False
2019-10-27,44,False
2019-11-03,32,False
2019-11-10,22,False
2019-11-17,43,False
2019-11-24,43,False
2019-12-01,0,False
2019-12-08,33,False
2019-12-15,0,False
2019-12-22,25,False
2019-12-29,70,False
2020-01-05,31,False
2020-01-12,20,False
2020-01-19,62,False
2020-01-26,31,False
2020-02-02,41,False
2020-02-09,50,False
2020-02-16,84,False
2020-02-23,61,False
2020-03-01,61,False
2020-03-08,38,False
2020-03-15,37,False
2020-03-22,28,False
2020-03-29,28,False
2020-04-05,61,False
2020-04-12,58,False
2020-04-19,28,False
2020-04-26,37,False
2020-05-03,28,False
2020-05-10,28,False
