date,Aromathérapie,isPartial
2018-01-07,48,False
2018-01-14,64,False
2018-01-21,64,False
2018-01-28,32,False
2018-02-04,32,False
2018-02-11,42,False
2018-02-18,48,False
2018-02-25,32,False
2018-03-04,33,False
2018-03-11,49,False
2018-03-18,33,False
2018-03-25,67,False
2018-04-01,66,False
2018-04-08,31,False
2018-04-15,34,False
2018-04-22,33,False
2018-04-29,49,False
2018-05-06,65,False
2018-05-13,32,False
2018-05-20,50,False
2018-05-27,64,False
2018-06-03,53,False
2018-06-10,31,False
2018-06-17,49,False
2018-06-24,32,False
2018-07-01,32,False
2018-07-08,32,False
2018-07-15,33,False
2018-07-22,32,False
2018-07-29,32,False
2018-08-05,31,False
2018-08-12,64,False
2018-08-19,65,False
2018-08-26,33,False
2018-09-02,33,False
2018-09-09,33,False
2018-09-16,50,False
2018-09-23,33,False
2018-09-30,78,False
2018-10-07,66,False
2018-10-14,35,False
2018-10-21,35,False
2018-10-28,66,False
2018-11-04,0,False
2018-11-11,50,False
2018-11-18,0,False
2018-11-25,67,False
2018-12-02,34,False
2018-12-09,35,False
2018-12-16,47,False
2018-12-23,100,False
2018-12-30,55,False
2019-01-06,68,False
2019-01-13,56,False
2019-01-20,49,False
2019-01-27,63,False
2019-02-03,45,False
2019-02-10,52,False
2019-02-17,35,False
2019-02-24,33,False
2019-03-03,82,False
2019-03-10,56,False
2019-03-17,34,False
2019-03-24,34,False
2019-03-31,33,False
2019-04-07,34,False
2019-04-14,34,False
2019-04-21,95,False
2019-04-28,32,False
2019-05-05,32,False
2019-05-12,32,False
2019-05-19,31,False
2019-05-26,63,False
2019-06-02,30,False
2019-06-09,30,False
2019-06-16,30,False
2019-06-23,46,False
2019-06-30,31,False
2019-07-07,30,False
2019-07-14,62,False
2019-07-21,94,False
2019-07-28,63,False
2019-08-04,31,False
2019-08-11,43,False
2019-08-18,52,False
2019-08-25,56,False
2019-09-01,30,False
2019-09-08,90,False
2019-09-15,30,False
2019-09-22,45,False
2019-09-29,0,False
2019-10-06,31,False
2019-10-13,70,False
2019-10-20,30,False
2019-10-27,0,False
2019-11-03,30,False
2019-11-10,49,False
2019-11-17,43,False
2019-11-24,57,False
2019-12-01,0,False
2019-12-08,73,False
2019-12-15,0,False
2019-12-22,33,False
2019-12-29,62,False
2020-01-05,42,False
2020-01-12,41,False
2020-01-19,46,False
2020-01-26,42,False
2020-02-02,42,False
2020-02-09,28,False
2020-02-16,28,False
2020-02-23,53,False
2020-03-01,61,False
2020-03-08,40,False
2020-03-15,24,False
2020-03-22,23,False
2020-03-29,35,False
2020-04-05,39,False
2020-04-12,24,False
2020-04-19,39,False
2020-04-26,30,False
2020-05-03,44,False
2020-05-10,23,False
2020-05-17,56,True
