date,Aromathérapie,isPartial
2018-01-07,0,False
2018-01-14,61,False
2018-01-21,50,False
2018-01-28,37,False
2018-02-04,34,False
2018-02-11,26,False
2018-02-18,26,False
2018-02-25,38,False
2018-03-04,25,False
2018-03-11,51,False
2018-03-18,26,False
2018-03-25,25,False
2018-04-01,53,False
2018-04-08,0,False
2018-04-15,28,False
2018-04-22,25,False
2018-04-29,24,False
2018-05-06,0,False
2018-05-13,25,False
2018-05-20,51,False
2018-05-27,0,False
2018-06-03,24,False
2018-06-10,23,False
2018-06-17,25,False
2018-06-24,25,False
2018-07-01,47,False
2018-07-08,0,False
2018-07-15,49,False
2018-07-22,36,False
2018-07-29,35,False
2018-08-05,0,False
2018-08-12,23,False
2018-08-19,24,False
2018-08-26,24,False
2018-09-02,33,False
2018-09-09,0,False
2018-09-16,25,False
2018-09-23,25,False
2018-09-30,25,False
2018-10-07,52,False
2018-10-14,39,False
2018-10-21,26,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,50,False
2018-12-02,37,False
2018-12-09,25,False
2018-12-16,26,False
2018-12-23,58,False
2018-12-30,27,False
2019-01-06,100,False
2019-01-13,25,False
2019-01-20,24,False
2019-01-27,24,False
2019-02-03,25,False
2019-02-10,27,False
2019-02-17,27,False
2019-02-24,28,False
2019-03-03,38,False
2019-03-10,25,False
2019-03-17,26,False
2019-03-24,25,False
2019-03-31,22,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,21,False
2019-05-12,21,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,39,False
2019-06-09,40,False
2019-06-16,31,False
2019-06-23,21,False
2019-06-30,20,False
2019-07-07,29,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,21,False
2019-08-11,20,False
2019-08-18,21,False
2019-08-25,0,False
2019-09-01,27,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,19,False
2019-09-29,19,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,41,False
2019-10-27,20,False
2019-11-03,19,False
2019-11-10,39,False
2019-11-17,21,False
2019-11-24,40,False
2019-12-01,21,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,22,False
2019-12-29,21,False
2020-01-05,19,False
2020-01-12,19,False
2020-01-19,0,False
2020-01-26,19,False
2020-02-02,19,False
2020-02-09,25,False
2020-02-16,32,False
2020-02-23,38,False
2020-03-01,37,False
2020-03-08,0,False
2020-03-15,23,False
2020-03-22,0,False
2020-03-29,17,False
2020-04-05,0,False
2020-04-12,17,False
2020-04-19,17,False
2020-04-26,0,False
2020-05-03,17,False
2020-05-10,17,False
2020-05-17,0,True
