date,Catering matrimonio,isPartial
2018-01-07,44,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,28,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,26,False
2018-02-25,0,False
2018-03-04,26,False
2018-03-11,0,False
2018-03-18,26,False
2018-03-25,55,False
2018-04-01,28,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,28,False
2018-04-29,27,False
2018-05-06,51,False
2018-05-13,0,False
2018-05-20,39,False
2018-05-27,53,False
2018-06-03,27,False
2018-06-10,0,False
2018-06-17,25,False
2018-06-24,27,False
2018-07-01,0,False
2018-07-08,27,False
2018-07-15,27,False
2018-07-22,28,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,36,False
2018-08-26,31,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,25,False
2018-09-23,63,False
2018-09-30,25,False
2018-10-07,0,False
2018-10-14,26,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,24,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,24,False
2018-12-09,27,False
2018-12-16,28,False
2018-12-23,34,False
2018-12-30,30,False
2019-01-06,44,False
2019-01-13,56,False
2019-01-20,67,False
2019-01-27,0,False
2019-02-03,28,False
2019-02-10,28,False
2019-02-17,28,False
2019-02-24,100,False
2019-03-03,59,False
2019-03-10,0,False
2019-03-17,45,False
2019-03-24,57,False
2019-03-31,29,False
2019-04-07,27,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,56,False
2019-05-05,25,False
2019-05-12,0,False
2019-05-19,28,False
2019-05-26,26,False
2019-06-02,28,False
2019-06-09,56,False
2019-06-16,89,False
2019-06-23,30,False
2019-06-30,31,False
2019-07-07,28,False
2019-07-14,30,False
2019-07-21,30,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,93,False
2019-09-01,79,False
2019-09-08,42,False
2019-09-15,54,False
2019-09-22,54,False
2019-09-29,55,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,27,False
2019-10-27,55,False
2019-11-03,26,False
2019-11-10,26,False
2019-11-17,0,False
2019-11-24,27,False
2019-12-01,0,False
2019-12-08,28,False
2019-12-15,28,False
2019-12-22,34,False
2019-12-29,65,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,26,False
2020-01-26,25,False
2020-02-02,25,False
2020-02-09,26,False
2020-02-16,0,False
2020-02-23,25,False
2020-03-01,37,False
2020-03-08,0,False
2020-03-15,25,False
2020-03-22,0,False
2020-03-29,48,False
2020-04-05,25,False
2020-04-12,50,False
2020-04-19,23,False
2020-04-26,0,True
