date,Treppenbau,isPartial
2018-01-07,43,False
2018-01-14,57,False
2018-01-21,42,False
2018-01-28,42,False
2018-02-04,0,False
2018-02-11,28,False
2018-02-18,43,False
2018-02-25,28,False
2018-03-04,42,False
2018-03-11,29,False
2018-03-18,29,False
2018-03-25,29,False
2018-04-01,30,False
2018-04-08,30,False
2018-04-15,0,False
2018-04-22,28,False
2018-04-29,58,False
2018-05-06,30,False
2018-05-13,44,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,58,False
2018-06-10,27,False
2018-06-17,0,False
2018-06-24,28,False
2018-07-01,42,False
2018-07-08,28,False
2018-07-15,59,False
2018-07-22,0,False
2018-07-29,28,False
2018-08-05,0,False
2018-08-12,41,False
2018-08-19,27,False
2018-08-26,27,False
2018-09-02,56,False
2018-09-09,28,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,60,False
2018-10-14,44,False
2018-10-21,55,False
2018-10-28,27,False
2018-11-04,54,False
2018-11-11,28,False
2018-11-18,40,False
2018-11-25,28,False
2018-12-02,28,False
2018-12-09,28,False
2018-12-16,29,False
2018-12-23,30,False
2018-12-30,37,False
2019-01-06,26,False
2019-01-13,0,False
2019-01-20,66,False
2019-01-27,27,False
2019-02-03,26,False
2019-02-10,27,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,52,False
2019-03-17,27,False
2019-03-24,27,False
2019-03-31,42,False
2019-04-07,0,False
2019-04-14,72,False
2019-04-21,27,False
2019-04-28,26,False
2019-05-05,0,False
2019-05-12,27,False
2019-05-19,26,False
2019-05-26,39,False
2019-06-02,39,False
2019-06-09,34,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,25,False
2019-07-07,26,False
2019-07-14,26,False
2019-07-21,0,False
2019-07-28,38,False
2019-08-04,50,False
2019-08-11,24,False
2019-08-18,25,False
2019-08-25,50,False
2019-09-01,0,False
2019-09-08,38,False
2019-09-15,25,False
2019-09-22,100,False
2019-09-29,25,False
2019-10-06,34,False
2019-10-13,24,False
2019-10-20,24,False
2019-10-27,24,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,36,False
2019-12-01,49,False
2019-12-08,24,False
2019-12-15,37,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,35,False
2020-01-12,30,False
2020-01-19,0,False
2020-01-26,46,False
2020-02-02,23,False
2020-02-09,23,False
2020-02-16,23,False
2020-02-23,23,False
2020-03-01,23,False
2020-03-08,21,False
2020-03-15,27,False
2020-03-22,40,False
2020-03-29,20,False
2020-04-05,22,False
2020-04-12,85,False
2020-04-19,52,False
2020-04-26,20,False
2020-05-03,31,False
2020-05-10,20,False
