date,Treppenbau,isPartial
2018-01-07,27,False
2018-01-14,28,False
2018-01-21,28,False
2018-01-28,44,False
2018-02-04,37,False
2018-02-11,28,False
2018-02-18,47,False
2018-02-25,27,False
2018-03-04,41,False
2018-03-11,27,False
2018-03-18,27,False
2018-03-25,29,False
2018-04-01,29,False
2018-04-08,28,False
2018-04-15,28,False
2018-04-22,45,False
2018-04-29,0,False
2018-05-06,38,False
2018-05-13,26,False
2018-05-20,27,False
2018-05-27,40,False
2018-06-03,83,False
2018-06-10,0,False
2018-06-17,53,False
2018-06-24,0,False
2018-07-01,28,False
2018-07-08,0,False
2018-07-15,29,False
2018-07-22,57,False
2018-07-29,56,False
2018-08-05,35,False
2018-08-12,44,False
2018-08-19,52,False
2018-08-26,27,False
2018-09-02,27,False
2018-09-09,54,False
2018-09-16,28,False
2018-09-23,27,False
2018-09-30,0,False
2018-10-07,38,False
2018-10-14,41,False
2018-10-21,39,False
2018-10-28,26,False
2018-11-04,25,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,39,False
2018-12-02,26,False
2018-12-09,26,False
2018-12-16,27,False
2018-12-23,30,False
2018-12-30,27,False
2019-01-06,25,False
2019-01-13,25,False
2019-01-20,24,False
2019-01-27,0,False
2019-02-03,50,False
2019-02-10,50,False
2019-02-17,27,False
2019-02-24,26,False
2019-03-03,38,False
2019-03-10,62,False
2019-03-17,26,False
2019-03-24,26,False
2019-03-31,53,False
2019-04-07,26,False
2019-04-14,69,False
2019-04-21,28,False
2019-04-28,25,False
2019-05-05,25,False
2019-05-12,25,False
2019-05-19,25,False
2019-05-26,51,False
2019-06-02,25,False
2019-06-09,26,False
2019-06-16,50,False
2019-06-23,26,False
2019-06-30,50,False
2019-07-07,39,False
2019-07-14,45,False
2019-07-21,71,False
2019-07-28,27,False
2019-08-04,27,False
2019-08-11,53,False
2019-08-18,26,False
2019-08-25,25,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,26,False
2019-09-22,50,False
2019-09-29,25,False
2019-10-06,25,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,24,False
2019-11-03,23,False
2019-11-10,47,False
2019-11-17,24,False
2019-11-24,23,False
2019-12-01,0,False
2019-12-08,32,False
2019-12-15,24,False
2019-12-22,27,False
2019-12-29,38,False
2020-01-05,33,False
2020-01-12,44,False
2020-01-19,45,False
2020-01-26,22,False
2020-02-02,22,False
2020-02-09,35,False
2020-02-16,0,False
2020-02-23,22,False
2020-03-01,33,False
2020-03-08,21,False
2020-03-15,20,False
2020-03-22,100,False
2020-03-29,39,False
2020-04-05,0,False
2020-04-12,28,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,41,False
2020-05-10,21,False
