date,Malerfachbetrieb,isPartial
2018-01-07,27,False
2018-01-14,26,False
2018-01-21,26,False
2018-01-28,26,False
2018-02-04,54,False
2018-02-11,53,False
2018-02-18,27,False
2018-02-25,0,False
2018-03-04,27,False
2018-03-11,26,False
2018-03-18,54,False
2018-03-25,28,False
2018-04-01,28,False
2018-04-08,27,False
2018-04-15,27,False
2018-04-22,39,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,26,False
2018-05-20,0,False
2018-05-27,26,False
2018-06-03,40,False
2018-06-10,25,False
2018-06-17,26,False
2018-06-24,27,False
2018-07-01,78,False
2018-07-08,25,False
2018-07-15,27,False
2018-07-22,55,False
2018-07-29,29,False
2018-08-05,28,False
2018-08-12,28,False
2018-08-19,27,False
2018-08-26,54,False
2018-09-02,27,False
2018-09-09,40,False
2018-09-16,27,False
2018-09-23,27,False
2018-09-30,27,False
2018-10-07,0,False
2018-10-14,41,False
2018-10-21,27,False
2018-10-28,0,False
2018-11-04,38,False
2018-11-11,39,False
2018-11-18,76,False
2018-11-25,26,False
2018-12-02,60,False
2018-12-09,26,False
2018-12-16,78,False
2018-12-23,30,False
2018-12-30,55,False
2019-01-06,37,False
2019-01-13,57,False
2019-01-20,24,False
2019-01-27,49,False
2019-02-03,24,False
2019-02-10,0,False
2019-02-17,25,False
2019-02-24,26,False
2019-03-03,37,False
2019-03-10,36,False
2019-03-17,26,False
2019-03-24,34,False
2019-03-31,25,False
2019-04-07,38,False
2019-04-14,28,False
2019-04-21,41,False
2019-04-28,51,False
2019-05-05,25,False
2019-05-12,25,False
2019-05-19,58,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,34,False
2019-06-16,51,False
2019-06-23,26,False
2019-06-30,25,False
2019-07-07,50,False
2019-07-14,35,False
2019-07-21,28,False
2019-07-28,56,False
2019-08-04,28,False
2019-08-11,0,False
2019-08-18,53,False
2019-08-25,51,False
2019-09-01,51,False
2019-09-08,25,False
2019-09-15,26,False
2019-09-22,25,False
2019-09-29,25,False
2019-10-06,25,False
2019-10-13,25,False
2019-10-20,100,False
2019-10-27,24,False
2019-11-03,23,False
2019-11-10,59,False
2019-11-17,23,False
2019-11-24,34,False
2019-12-01,0,False
2019-12-08,23,False
2019-12-15,24,False
2019-12-22,27,False
2019-12-29,26,False
2020-01-05,34,False
2020-01-12,44,False
2020-01-19,0,False
2020-01-26,33,False
2020-02-02,22,False
2020-02-09,22,False
2020-02-16,22,False
2020-02-23,43,False
2020-03-01,32,False
2020-03-08,20,False
2020-03-15,41,False
2020-03-22,41,False
2020-03-29,40,False
2020-04-05,22,False
2020-04-12,35,False
2020-04-19,20,False
2020-04-26,30,False
2020-05-03,41,False
2020-05-10,48,False
2020-05-17,97,True
