date,Malerfachbetrieb,isPartial
2018-01-07,45,False
2018-01-14,45,False
2018-01-21,45,False
2018-01-28,90,False
2018-02-04,46,False
2018-02-11,0,False
2018-02-18,47,False
2018-02-25,47,False
2018-03-04,0,False
2018-03-11,47,False
2018-03-18,63,False
2018-03-25,51,False
2018-04-01,51,False
2018-04-08,49,False
2018-04-15,49,False
2018-04-22,71,False
2018-04-29,49,False
2018-05-06,49,False
2018-05-13,47,False
2018-05-20,74,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,45,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,44,False
2018-07-15,45,False
2018-07-22,45,False
2018-07-29,47,False
2018-08-05,48,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,100,False
2018-09-02,0,False
2018-09-09,47,False
2018-09-16,47,False
2018-09-23,0,False
2018-09-30,47,False
2018-10-07,0,False
2018-10-14,69,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,45,False
2018-11-11,0,False
2018-11-18,44,False
2018-11-25,45,False
2018-12-02,59,False
2018-12-09,45,False
2018-12-16,93,False
2018-12-23,0,False
2018-12-30,48,False
2019-01-06,86,False
2019-01-13,41,False
2019-01-20,63,False
2019-01-27,0,False
2019-02-03,42,False
2019-02-10,43,False
2019-02-17,43,False
2019-02-24,44,False
2019-03-03,89,False
2019-03-10,86,False
2019-03-17,46,False
2019-03-24,91,False
2019-03-31,0,False
2019-04-07,44,False
2019-04-14,48,False
2019-04-21,48,False
2019-04-28,44,False
2019-05-05,64,False
2019-05-12,65,False
2019-05-19,43,False
2019-05-26,45,False
2019-06-02,45,False
2019-06-09,47,False
2019-06-16,0,False
2019-06-23,68,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,45,False
2019-07-28,0,False
2019-08-04,47,False
2019-08-11,0,False
2019-08-18,48,False
2019-08-25,48,False
2019-09-01,45,False
2019-09-08,89,False
2019-09-15,0,False
2019-09-22,85,False
2019-09-29,0,False
2019-10-06,43,False
2019-10-13,63,False
2019-10-20,63,False
2019-10-27,42,False
2019-11-03,81,False
2019-11-10,82,False
2019-11-17,41,False
2019-11-24,41,False
2019-12-01,0,False
2019-12-08,42,False
2019-12-15,65,False
2019-12-22,49,False
2019-12-29,45,False
2020-01-05,81,False
2020-01-12,52,False
2020-01-19,40,False
2020-01-26,59,False
2020-02-02,39,False
2020-02-09,76,False
2020-02-16,60,False
2020-02-23,40,False
2020-03-01,38,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,36,False
2020-03-29,36,False
2020-04-05,79,False
2020-04-12,75,False
2020-04-19,37,False
2020-04-26,36,False
2020-05-03,36,False
2020-05-10,36,False
2020-05-17,89,True
