date,Gartenmöbel,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,21,False
2018-01-28,21,False
2018-02-04,0,False
2018-02-11,21,False
2018-02-18,41,False
2018-02-25,0,False
2018-03-04,32,False
2018-03-11,40,False
2018-03-18,41,False
2018-03-25,32,False
2018-04-01,34,False
2018-04-08,91,False
2018-04-15,23,False
2018-04-22,43,False
2018-04-29,53,False
2018-05-06,56,False
2018-05-13,21,False
2018-05-20,22,False
2018-05-27,22,False
2018-06-03,64,False
2018-06-10,0,False
2018-06-17,43,False
2018-06-24,54,False
2018-07-01,32,False
2018-07-08,24,False
2018-07-15,36,False
2018-07-22,25,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,21,False
2018-08-19,22,False
2018-08-26,21,False
2018-09-02,44,False
2018-09-09,22,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,23,False
2018-10-14,22,False
2018-10-21,43,False
2018-10-28,42,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,21,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,21,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,20,False
2019-01-20,0,False
2019-01-27,21,False
2019-02-03,43,False
2019-02-10,0,False
2019-02-17,32,False
2019-02-24,21,False
2019-03-03,0,False
2019-03-10,21,False
2019-03-17,62,False
2019-03-24,42,False
2019-03-31,52,False
2019-04-07,43,False
2019-04-14,35,False
2019-04-21,43,False
2019-04-28,30,False
2019-05-05,39,False
2019-05-12,20,False
2019-05-19,20,False
2019-05-26,32,False
2019-06-02,84,False
2019-06-09,42,False
2019-06-16,32,False
2019-06-23,23,False
2019-06-30,44,False
2019-07-07,23,False
2019-07-14,38,False
2019-07-21,26,False
2019-07-28,26,False
2019-08-04,22,False
2019-08-11,54,False
2019-08-18,0,False
2019-08-25,63,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,21,False
2019-09-22,0,False
2019-09-29,22,False
2019-10-06,22,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,19,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,22,False
2020-01-05,18,False
2020-01-12,18,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,20,False
2020-02-09,19,False
2020-02-16,0,False
2020-02-23,37,False
2020-03-01,54,False
2020-03-08,35,False
2020-03-15,65,False
2020-03-22,46,False
2020-03-29,39,False
2020-04-05,60,False
2020-04-12,100,False
2020-04-19,65,False
2020-04-26,61,False
2020-05-03,70,False
2020-05-10,55,False
2020-05-17,34,False
2020-05-24,74,False
2020-05-31,16,False
2020-06-07,33,False
2020-06-14,17,False
2020-06-21,55,False
2020-06-28,90,False
2020-07-05,79,False
