date,sale ricevimenti,isPartial
2018-01-07,69,False
2018-01-14,27,False
2018-01-21,41,False
2018-01-28,54,False
2018-02-04,39,False
2018-02-11,41,False
2018-02-18,26,False
2018-02-25,50,False
2018-03-04,20,False
2018-03-11,54,False
2018-03-18,39,False
2018-03-25,28,False
2018-04-01,22,False
2018-04-08,14,False
2018-04-15,70,False
2018-04-22,29,False
2018-04-29,56,False
2018-05-06,35,False
2018-05-13,28,False
2018-05-20,41,False
2018-05-27,21,False
2018-06-03,28,False
2018-06-10,19,False
2018-06-17,13,False
2018-06-24,39,False
2018-07-01,14,False
2018-07-08,26,False
2018-07-15,20,False
2018-07-22,33,False
2018-07-29,33,False
2018-08-05,13,False
2018-08-12,40,False
2018-08-19,40,False
2018-08-26,18,False
2018-09-02,25,False
2018-09-09,26,False
2018-09-16,47,False
2018-09-23,27,False
2018-09-30,54,False
2018-10-07,36,False
2018-10-14,42,False
2018-10-21,42,False
2018-10-28,14,False
2018-11-04,14,False
2018-11-11,14,False
2018-11-18,34,False
2018-11-25,20,False
2018-12-02,15,False
2018-12-09,100,False
2018-12-16,42,False
2018-12-23,37,False
2018-12-30,20,False
2019-01-06,20,False
2019-01-13,60,False
2019-01-20,25,False
2019-01-27,25,False
2019-02-03,24,False
2019-02-10,37,False
2019-02-17,63,False
2019-02-24,31,False
2019-03-03,40,False
2019-03-10,25,False
2019-03-17,53,False
2019-03-24,19,False
2019-03-31,13,False
2019-04-07,25,False
2019-04-14,20,False
2019-04-21,20,False
2019-04-28,31,False
2019-05-05,12,False
2019-05-12,48,False
2019-05-19,18,False
2019-05-26,29,False
2019-06-02,38,False
2019-06-09,33,False
2019-06-16,46,False
2019-06-23,38,False
2019-06-30,45,False
2019-07-07,30,False
2019-07-14,12,False
2019-07-21,25,False
2019-07-28,24,False
2019-08-04,36,False
2019-08-11,12,False
2019-08-18,36,False
2019-08-25,42,False
2019-09-01,17,False
2019-09-08,29,False
2019-09-15,69,False
2019-09-22,52,False
2019-09-29,35,False
2019-10-06,18,False
2019-10-13,37,False
2019-10-20,24,False
2019-10-27,12,False
2019-11-03,23,False
2019-11-10,35,False
2019-11-17,24,False
2019-11-24,57,False
2019-12-01,42,False
2019-12-08,18,False
2019-12-15,12,False
2019-12-22,50,False
2019-12-29,49,False
2020-01-05,52,False
2020-01-12,44,False
2020-01-19,17,False
2020-01-26,39,False
2020-02-02,22,False
2020-02-09,22,False
2020-02-16,17,False
2020-02-23,21,False
2020-03-01,63,False
2020-03-08,0,False
2020-03-15,19,False
2020-03-22,9,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,24,False
2020-04-19,18,False
2020-04-26,16,True
