date,banda,isPartial
2018-01-07,83,False
2018-01-14,55,False
2018-01-21,97,False
2018-01-28,41,False
2018-02-04,52,False
2018-02-11,39,False
2018-02-18,26,False
2018-02-25,39,False
2018-03-04,40,False
2018-03-11,54,False
2018-03-18,54,False
2018-03-25,57,False
2018-04-01,91,False
2018-04-08,14,False
2018-04-15,69,False
2018-04-22,29,False
2018-04-29,59,False
2018-05-06,42,False
2018-05-13,55,False
2018-05-20,14,False
2018-05-27,74,False
2018-06-03,43,False
2018-06-10,40,False
2018-06-17,79,False
2018-06-24,81,False
2018-07-01,42,False
2018-07-08,53,False
2018-07-15,95,False
2018-07-22,25,False
2018-07-29,48,False
2018-08-05,58,False
2018-08-12,48,False
2018-08-19,67,False
2018-08-26,46,False
2018-09-02,54,False
2018-09-09,44,False
2018-09-16,0,False
2018-09-23,71,False
2018-09-30,14,False
2018-10-07,29,False
2018-10-14,28,False
2018-10-21,56,False
2018-10-28,28,False
2018-11-04,42,False
2018-11-11,44,False
2018-11-18,14,False
2018-11-25,14,False
2018-12-02,60,False
2018-12-09,88,False
2018-12-16,77,False
2018-12-23,47,False
2018-12-30,43,False
2019-01-06,42,False
2019-01-13,57,False
2019-01-20,40,False
2019-01-27,40,False
2019-02-03,68,False
2019-02-10,41,False
2019-02-17,28,False
2019-02-24,14,False
2019-03-03,44,False
2019-03-10,56,False
2019-03-17,14,False
2019-03-24,28,False
2019-03-31,56,False
2019-04-07,71,False
2019-04-14,45,False
2019-04-21,59,False
2019-04-28,28,False
2019-05-05,43,False
2019-05-12,42,False
2019-05-19,28,False
2019-05-26,13,False
2019-06-02,43,False
2019-06-09,89,False
2019-06-16,57,False
2019-06-23,56,False
2019-06-30,0,False
2019-07-07,42,False
2019-07-14,27,False
2019-07-21,27,False
2019-07-28,52,False
2019-08-04,24,False
2019-08-11,35,False
2019-08-18,79,False
2019-08-25,22,False
2019-09-01,63,False
2019-09-08,43,False
2019-09-15,29,False
2019-09-22,43,False
2019-09-29,57,False
2019-10-06,29,False
2019-10-13,60,False
2019-10-20,29,False
2019-10-27,15,False
2019-11-03,70,False
2019-11-10,100,False
2019-11-17,72,False
2019-11-24,41,False
2019-12-01,44,False
2019-12-08,44,False
2019-12-15,0,False
2019-12-22,44,False
2019-12-29,14,False
2020-01-05,14,False
2020-01-12,52,False
2020-01-19,13,False
2020-01-26,51,False
2020-02-02,26,False
2020-02-09,40,False
2020-02-16,53,False
2020-02-23,37,False
2020-03-01,24,False
2020-03-08,44,False
2020-03-15,32,False
2020-03-22,10,False
2020-03-29,20,False
2020-04-05,43,False
2020-04-12,34,False
2020-04-19,62,False
2020-04-26,55,True
