date,banda,isPartial
2018-01-07,25,False
2018-01-14,41,False
2018-01-21,25,False
2018-01-28,87,False
2018-02-04,48,False
2018-02-11,49,False
2018-02-18,32,False
2018-02-25,46,False
2018-03-04,55,False
2018-03-11,23,False
2018-03-18,16,False
2018-03-25,49,False
2018-04-01,18,False
2018-04-08,24,False
2018-04-15,34,False
2018-04-22,51,False
2018-04-29,32,False
2018-05-06,24,False
2018-05-13,63,False
2018-05-20,32,False
2018-05-27,41,False
2018-06-03,16,False
2018-06-10,31,False
2018-06-17,16,False
2018-06-24,16,False
2018-07-01,77,False
2018-07-08,23,False
2018-07-15,24,False
2018-07-22,16,False
2018-07-29,16,False
2018-08-05,50,False
2018-08-12,53,False
2018-08-19,66,False
2018-08-26,54,False
2018-09-02,55,False
2018-09-09,41,False
2018-09-16,40,False
2018-09-23,32,False
2018-09-30,16,False
2018-10-07,16,False
2018-10-14,16,False
2018-10-21,40,False
2018-10-28,39,False
2018-11-04,55,False
2018-11-11,25,False
2018-11-18,63,False
2018-11-25,32,False
2018-12-02,41,False
2018-12-09,56,False
2018-12-16,62,False
2018-12-23,69,False
2018-12-30,60,False
2019-01-06,63,False
2019-01-13,35,False
2019-01-20,0,False
2019-01-27,34,False
2019-02-03,35,False
2019-02-10,56,False
2019-02-17,29,False
2019-02-24,98,False
2019-03-03,29,False
2019-03-10,42,False
2019-03-17,28,False
2019-03-24,50,False
2019-03-31,42,False
2019-04-07,42,False
2019-04-14,75,False
2019-04-21,52,False
2019-04-28,47,False
2019-05-05,54,False
2019-05-12,28,False
2019-05-19,34,False
2019-05-26,59,False
2019-06-02,28,False
2019-06-09,59,False
2019-06-16,58,False
2019-06-23,65,False
2019-06-30,50,False
2019-07-07,28,False
2019-07-14,29,False
2019-07-21,15,False
2019-07-28,30,False
2019-08-04,47,False
2019-08-11,34,False
2019-08-18,46,False
2019-08-25,22,False
2019-09-01,34,False
2019-09-08,41,False
2019-09-15,13,False
2019-09-22,58,False
2019-09-29,57,False
2019-10-06,27,False
2019-10-13,13,False
2019-10-20,13,False
2019-10-27,20,False
2019-11-03,37,False
2019-11-10,70,False
2019-11-17,43,False
2019-11-24,25,False
2019-12-01,59,False
2019-12-08,40,False
2019-12-15,67,False
2019-12-22,46,False
2019-12-29,55,False
2020-01-05,49,False
2020-01-12,57,False
2020-01-19,51,False
2020-01-26,43,False
2020-02-02,36,False
2020-02-09,44,False
2020-02-16,100,False
2020-02-23,47,False
2020-03-01,29,False
2020-03-08,66,False
2020-03-15,45,False
2020-03-22,36,False
2020-03-29,33,False
2020-04-05,46,False
2020-04-12,23,False
2020-04-19,60,False
2020-04-26,38,True
