date,anglais professionnel,isPartial
2018-01-07,68,False
2018-01-14,44,False
2018-01-21,44,False
2018-01-28,92,False
2018-02-04,45,False
2018-02-11,0,False
2018-02-18,45,False
2018-02-25,43,False
2018-03-04,87,False
2018-03-11,73,False
2018-03-18,68,False
2018-03-25,46,False
2018-04-01,63,False
2018-04-08,94,False
2018-04-15,0,False
2018-04-22,95,False
2018-04-29,47,False
2018-05-06,0,False
2018-05-13,45,False
2018-05-20,0,False
2018-05-27,46,False
2018-06-03,47,False
2018-06-10,68,False
2018-06-17,48,False
2018-06-24,48,False
2018-07-01,0,False
2018-07-08,48,False
2018-07-15,50,False
2018-07-22,50,False
2018-07-29,51,False
2018-08-05,51,False
2018-08-12,0,False
2018-08-19,51,False
2018-08-26,0,False
2018-09-02,80,False
2018-09-09,48,False
2018-09-16,73,False
2018-09-23,48,False
2018-09-30,0,False
2018-10-07,48,False
2018-10-14,48,False
2018-10-21,0,False
2018-10-28,48,False
2018-11-04,46,False
2018-11-11,47,False
2018-11-18,0,False
2018-11-25,46,False
2018-12-02,46,False
2018-12-09,46,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,73,False
2019-01-06,45,False
2019-01-13,0,False
2019-01-20,44,False
2019-01-27,43,False
2019-02-03,89,False
2019-02-10,0,False
2019-02-17,47,False
2019-02-24,90,False
2019-03-03,44,False
2019-03-10,44,False
2019-03-17,94,False
2019-03-24,75,False
2019-03-31,43,False
2019-04-07,43,False
2019-04-14,45,False
2019-04-21,89,False
2019-04-28,43,False
2019-05-05,42,False
2019-05-12,43,False
2019-05-19,43,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,42,False
2019-06-16,44,False
2019-06-23,44,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,46,False
2019-08-04,0,False
2019-08-11,49,False
2019-08-18,50,False
2019-08-25,0,False
2019-09-01,42,False
2019-09-08,84,False
2019-09-15,42,False
2019-09-22,83,False
2019-09-29,64,False
2019-10-06,85,False
2019-10-13,0,False
2019-10-20,56,False
2019-10-27,82,False
2019-11-03,60,False
2019-11-10,100,False
2019-11-17,60,False
2019-11-24,0,False
2019-12-01,39,False
2019-12-08,38,False
2019-12-15,39,False
2019-12-22,43,False
2019-12-29,42,False
2020-01-05,78,False
2020-01-12,39,False
2020-01-19,58,False
2020-01-26,75,False
2020-02-02,75,False
2020-02-09,74,False
2020-02-16,36,False
2020-02-23,48,False
2020-03-01,36,False
2020-03-08,54,False
2020-03-15,0,False
2020-03-22,34,False
2020-03-29,0,False
2020-04-05,34,False
2020-04-12,35,False
2020-04-19,34,False
2020-04-26,49,False
2020-05-03,33,False
2020-05-10,34,False
2020-05-17,0,True
