date,Lebensmittel bestellen,isPartial
2018-01-07,8,False
2018-01-14,21,False
2018-01-21,8,False
2018-01-28,16,False
2018-02-04,17,False
2018-02-11,0,False
2018-02-18,8,False
2018-02-25,8,False
2018-03-04,12,False
2018-03-11,0,False
2018-03-18,8,False
2018-03-25,17,False
2018-04-01,9,False
2018-04-08,9,False
2018-04-15,9,False
2018-04-22,8,False
2018-04-29,9,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,18,False
2018-05-27,8,False
2018-06-03,0,False
2018-06-10,16,False
2018-06-17,8,False
2018-06-24,0,False
2018-07-01,14,False
2018-07-08,9,False
2018-07-15,14,False
2018-07-22,10,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,10,False
2018-08-19,9,False
2018-08-26,9,False
2018-09-02,13,False
2018-09-09,0,False
2018-09-16,9,False
2018-09-23,8,False
2018-09-30,7,False
2018-10-07,14,False
2018-10-14,9,False
2018-10-21,9,False
2018-10-28,8,False
2018-11-04,16,False
2018-11-11,8,False
2018-11-18,8,False
2018-11-25,14,False
2018-12-02,16,False
2018-12-09,14,False
2018-12-16,27,False
2018-12-23,11,False
2018-12-30,19,False
2019-01-06,8,False
2019-01-13,12,False
2019-01-20,11,False
2019-01-27,19,False
2019-02-03,14,False
2019-02-10,8,False
2019-02-17,8,False
2019-02-24,8,False
2019-03-03,10,False
2019-03-10,8,False
2019-03-17,16,False
2019-03-24,16,False
2019-03-31,12,False
2019-04-07,16,False
2019-04-14,0,False
2019-04-21,9,False
2019-04-28,7,False
2019-05-05,16,False
2019-05-12,8,False
2019-05-19,8,False
2019-05-26,8,False
2019-06-02,7,False
2019-06-09,25,False
2019-06-16,16,False
2019-06-23,9,False
2019-06-30,8,False
2019-07-07,8,False
2019-07-14,13,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,8,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,18,False
2019-09-08,0,False
2019-09-15,11,False
2019-09-22,8,False
2019-09-29,7,False
2019-10-06,16,False
2019-10-13,8,False
2019-10-20,16,False
2019-10-27,8,False
2019-11-03,13,False
2019-11-10,12,False
2019-11-17,8,False
2019-11-24,8,False
2019-12-01,7,False
2019-12-08,8,False
2019-12-15,8,False
2019-12-22,15,False
2019-12-29,16,False
2020-01-05,7,False
2020-01-12,7,False
2020-01-19,8,False
2020-01-26,8,False
2020-02-02,19,False
2020-02-09,10,False
2020-02-16,11,False
2020-02-23,14,False
2020-03-01,7,False
2020-03-08,19,False
2020-03-15,82,False
2020-03-22,100,False
2020-03-29,33,False
2020-04-05,22,False
2020-04-12,13,False
2020-04-19,7,False
2020-04-26,14,False
2020-05-03,10,False
2020-05-10,7,False
2020-05-17,16,True
