date,Lebensmittel Bestellen,isPartial
2018-01-07,6,False
2018-01-14,0,False
2018-01-21,6,False
2018-01-28,10,False
2018-02-04,7,False
2018-02-11,7,False
2018-02-18,7,False
2018-02-25,15,False
2018-03-04,0,False
2018-03-11,10,False
2018-03-18,7,False
2018-03-25,7,False
2018-04-01,10,False
2018-04-08,7,False
2018-04-15,7,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,13,False
2018-05-20,10,False
2018-05-27,6,False
2018-06-03,10,False
2018-06-10,9,False
2018-06-17,6,False
2018-06-24,6,False
2018-07-01,7,False
2018-07-08,7,False
2018-07-15,7,False
2018-07-22,0,False
2018-07-29,7,False
2018-08-05,6,False
2018-08-12,6,False
2018-08-19,6,False
2018-08-26,6,False
2018-09-02,6,False
2018-09-09,6,False
2018-09-16,9,False
2018-09-23,6,False
2018-09-30,11,False
2018-10-07,7,False
2018-10-14,6,False
2018-10-21,8,False
2018-10-28,10,False
2018-11-04,0,False
2018-11-11,6,False
2018-11-18,0,False
2018-11-25,6,False
2018-12-02,6,False
2018-12-09,10,False
2018-12-16,9,False
2018-12-23,7,False
2018-12-30,0,False
2019-01-06,9,False
2019-01-13,6,False
2019-01-20,12,False
2019-01-27,0,False
2019-02-03,6,False
2019-02-10,6,False
2019-02-17,12,False
2019-02-24,8,False
2019-03-03,0,False
2019-03-10,9,False
2019-03-17,6,False
2019-03-24,8,False
2019-03-31,9,False
2019-04-07,7,False
2019-04-14,17,False
2019-04-21,6,False
2019-04-28,6,False
2019-05-05,9,False
2019-05-12,6,False
2019-05-19,6,False
2019-05-26,10,False
2019-06-02,9,False
2019-06-09,9,False
2019-06-16,0,False
2019-06-23,9,False
2019-06-30,6,False
2019-07-07,6,False
2019-07-14,10,False
2019-07-21,7,False
2019-07-28,6,False
2019-08-04,6,False
2019-08-11,9,False
2019-08-18,9,False
2019-08-25,9,False
2019-09-01,9,False
2019-09-08,12,False
2019-09-15,8,False
2019-09-22,15,False
2019-09-29,6,False
2019-10-06,9,False
2019-10-13,23,False
2019-10-20,0,False
2019-10-27,11,False
2019-11-03,0,False
2019-11-10,11,False
2019-11-17,0,False
2019-11-24,8,False
2019-12-01,6,False
2019-12-08,7,False
2019-12-15,6,False
2019-12-22,6,False
2019-12-29,9,False
2020-01-05,12,False
2020-01-12,15,False
2020-01-19,14,False
2020-01-26,8,False
2020-02-02,8,False
2020-02-09,5,False
2020-02-16,16,False
2020-02-23,11,False
2020-03-01,5,False
2020-03-08,18,False
2020-03-15,95,False
2020-03-22,100,False
2020-03-29,42,False
2020-04-05,27,False
2020-04-12,10,False
2020-04-19,13,False
2020-04-26,11,False
2020-05-03,7,False
2020-05-10,15,False
2020-05-17,11,True
