date,Lebensmittel Bestellen,isPartial
2018-01-07,5,False
2018-01-14,0,False
2018-01-21,7,False
2018-01-28,3,False
2018-02-04,7,False
2018-02-11,7,False
2018-02-18,8,False
2018-02-25,5,False
2018-03-04,5,False
2018-03-11,0,False
2018-03-18,7,False
2018-03-25,7,False
2018-04-01,4,False
2018-04-08,4,False
2018-04-15,11,False
2018-04-22,0,False
2018-04-29,6,False
2018-05-06,4,False
2018-05-13,6,False
2018-05-20,4,False
2018-05-27,4,False
2018-06-03,4,False
2018-06-10,3,False
2018-06-17,0,False
2018-06-24,4,False
2018-07-01,3,False
2018-07-08,4,False
2018-07-15,7,False
2018-07-22,6,False
2018-07-29,4,False
2018-08-05,6,False
2018-08-12,8,False
2018-08-19,4,False
2018-08-26,5,False
2018-09-02,4,False
2018-09-09,6,False
2018-09-16,5,False
2018-09-23,4,False
2018-09-30,4,False
2018-10-07,7,False
2018-10-14,5,False
2018-10-21,6,False
2018-10-28,9,False
2018-11-04,5,False
2018-11-11,0,False
2018-11-18,10,False
2018-11-25,10,False
2018-12-02,5,False
2018-12-09,3,False
2018-12-16,3,False
2018-12-23,4,False
2018-12-30,0,False
2019-01-06,3,False
2019-01-13,5,False
2019-01-20,3,False
2019-01-27,6,False
2019-02-03,3,False
2019-02-10,7,False
2019-02-17,3,False
2019-02-24,7,False
2019-03-03,3,False
2019-03-10,3,False
2019-03-17,3,False
2019-03-24,7,False
2019-03-31,0,False
2019-04-07,3,False
2019-04-14,4,False
2019-04-21,3,False
2019-04-28,5,False
2019-05-05,6,False
2019-05-12,3,False
2019-05-19,5,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,3,False
2019-06-16,5,False
2019-06-23,3,False
2019-06-30,3,False
2019-07-07,3,False
2019-07-14,7,False
2019-07-21,7,False
2019-07-28,10,False
2019-08-04,4,False
2019-08-11,5,False
2019-08-18,7,False
2019-08-25,9,False
2019-09-01,7,False
2019-09-08,3,False
2019-09-15,3,False
2019-09-22,9,False
2019-09-29,3,False
2019-10-06,5,False
2019-10-13,4,False
2019-10-20,9,False
2019-10-27,3,False
2019-11-03,6,False
2019-11-10,3,False
2019-11-17,5,False
2019-11-24,0,False
2019-12-01,3,False
2019-12-08,6,False
2019-12-15,3,False
2019-12-22,4,False
2019-12-29,3,False
2020-01-05,3,False
2020-01-12,5,False
2020-01-19,4,False
2020-01-26,4,False
2020-02-02,6,False
2020-02-09,4,False
2020-02-16,0,False
2020-02-23,10,False
2020-03-01,8,False
2020-03-08,19,False
2020-03-15,100,False
2020-03-22,85,False
2020-03-29,40,False
2020-04-05,15,False
2020-04-12,5,False
2020-04-19,10,False
2020-04-26,7,False
2020-05-03,4,False
2020-05-10,5,False
2020-05-17,6,True
