date,Unterhaltsreinigung,isPartial
2018-01-07,42,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,61,False
2018-02-04,53,False
2018-02-11,32,False
2018-02-18,21,False
2018-02-25,21,False
2018-03-04,42,False
2018-03-11,0,False
2018-03-18,21,False
2018-03-25,44,False
2018-04-01,22,False
2018-04-08,42,False
2018-04-15,43,False
2018-04-22,0,False
2018-04-29,43,False
2018-05-06,22,False
2018-05-13,31,False
2018-05-20,22,False
2018-05-27,21,False
2018-06-03,21,False
2018-06-10,0,False
2018-06-17,51,False
2018-06-24,21,False
2018-07-01,21,False
2018-07-08,20,False
2018-07-15,21,False
2018-07-22,65,False
2018-07-29,33,False
2018-08-05,22,False
2018-08-12,44,False
2018-08-19,43,False
2018-08-26,21,False
2018-09-02,21,False
2018-09-09,21,False
2018-09-16,21,False
2018-09-23,32,False
2018-09-30,43,False
2018-10-07,21,False
2018-10-14,0,False
2018-10-21,22,False
2018-10-28,42,False
2018-11-04,20,False
2018-11-11,41,False
2018-11-18,100,False
2018-11-25,20,False
2018-12-02,60,False
2018-12-09,20,False
2018-12-16,42,False
2018-12-23,24,False
2018-12-30,43,False
2019-01-06,39,False
2019-01-13,58,False
2019-01-20,57,False
2019-01-27,76,False
2019-02-03,19,False
2019-02-10,80,False
2019-02-17,69,False
2019-02-24,51,False
2019-03-03,49,False
2019-03-10,58,False
2019-03-17,40,False
2019-03-24,20,False
2019-03-31,59,False
2019-04-07,50,False
2019-04-14,22,False
2019-04-21,43,False
2019-04-28,40,False
2019-05-05,19,False
2019-05-12,51,False
2019-05-19,59,False
2019-05-26,61,False
2019-06-02,20,False
2019-06-09,51,False
2019-06-16,21,False
2019-06-23,30,False
2019-06-30,20,False
2019-07-07,30,False
2019-07-14,21,False
2019-07-21,22,False
2019-07-28,22,False
2019-08-04,0,False
2019-08-11,32,False
2019-08-18,31,False
2019-08-25,40,False
2019-09-01,40,False
2019-09-08,20,False
2019-09-15,40,False
2019-09-22,39,False
2019-09-29,59,False
2019-10-06,29,False
2019-10-13,29,False
2019-10-20,59,False
2019-10-27,96,False
2019-11-03,18,False
2019-11-10,37,False
2019-11-17,0,False
2019-11-24,18,False
2019-12-01,18,False
2019-12-08,27,False
2019-12-15,37,False
2019-12-22,0,False
2019-12-29,20,False
2020-01-05,36,False
2020-01-12,17,False
2020-01-19,44,False
2020-01-26,62,False
2020-02-02,43,False
2020-02-09,17,False
2020-02-16,44,False
2020-02-23,25,False
2020-03-01,34,False
2020-03-08,16,False
2020-03-15,56,False
2020-03-22,16,False
2020-03-29,48,False
2020-04-05,35,False
2020-04-12,33,False
2020-04-19,32,False
2020-04-26,16,False
2020-05-03,65,False
2020-05-10,32,False
