date,Kalkputz,isPartial
2018-01-07,43,False
2018-01-14,21,False
2018-01-21,54,False
2018-01-28,65,False
2018-02-04,67,False
2018-02-11,44,False
2018-02-18,44,False
2018-02-25,22,False
2018-03-04,44,False
2018-03-11,55,False
2018-03-18,44,False
2018-03-25,71,False
2018-04-01,23,False
2018-04-08,22,False
2018-04-15,0,False
2018-04-22,43,False
2018-04-29,23,False
2018-05-06,46,False
2018-05-13,43,False
2018-05-20,35,False
2018-05-27,43,False
2018-06-03,33,False
2018-06-10,31,False
2018-06-17,21,False
2018-06-24,55,False
2018-07-01,43,False
2018-07-08,52,False
2018-07-15,45,False
2018-07-22,23,False
2018-07-29,23,False
2018-08-05,46,False
2018-08-12,46,False
2018-08-19,34,False
2018-08-26,44,False
2018-09-02,33,False
2018-09-09,44,False
2018-09-16,66,False
2018-09-23,45,False
2018-09-30,0,False
2018-10-07,33,False
2018-10-14,68,False
2018-10-21,67,False
2018-10-28,33,False
2018-11-04,42,False
2018-11-11,43,False
2018-11-18,21,False
2018-11-25,53,False
2018-12-02,83,False
2018-12-09,53,False
2018-12-16,54,False
2018-12-23,25,False
2018-12-30,23,False
2019-01-06,71,False
2019-01-13,40,False
2019-01-20,40,False
2019-01-27,40,False
2019-02-03,40,False
2019-02-10,72,False
2019-02-17,52,False
2019-02-24,32,False
2019-03-03,61,False
2019-03-10,60,False
2019-03-17,42,False
2019-03-24,31,False
2019-03-31,51,False
2019-04-07,42,False
2019-04-14,23,False
2019-04-21,33,False
2019-04-28,42,False
2019-05-05,80,False
2019-05-12,84,False
2019-05-19,21,False
2019-05-26,53,False
2019-06-02,0,False
2019-06-09,63,False
2019-06-16,42,False
2019-06-23,0,False
2019-06-30,31,False
2019-07-07,20,False
2019-07-14,33,False
2019-07-21,47,False
2019-07-28,45,False
2019-08-04,46,False
2019-08-11,44,False
2019-08-18,43,False
2019-08-25,42,False
2019-09-01,51,False
2019-09-08,21,False
2019-09-15,52,False
2019-09-22,51,False
2019-09-29,51,False
2019-10-06,40,False
2019-10-13,20,False
2019-10-20,51,False
2019-10-27,100,False
2019-11-03,38,False
2019-11-10,39,False
2019-11-17,38,False
2019-11-24,37,False
2019-12-01,57,False
2019-12-08,39,False
2019-12-15,39,False
2019-12-22,22,False
2019-12-29,42,False
2020-01-05,74,False
2020-01-12,27,False
2020-01-19,65,False
2020-01-26,46,False
2020-02-02,18,False
2020-02-09,70,False
2020-02-16,46,False
2020-02-23,35,False
2020-03-01,27,False
2020-03-08,67,False
2020-03-15,0,False
2020-03-22,58,False
2020-03-29,67,False
2020-04-05,36,False
2020-04-12,51,False
2020-04-19,42,False
2020-04-26,65,False
2020-05-03,67,False
2020-05-10,68,False
