date,construire sa piscine,isPartial
2018-01-07,11,False
2018-01-14,11,False
2018-01-21,11,False
2018-01-28,11,False
2018-02-04,11,False
2018-02-11,34,False
2018-02-18,0,False
2018-02-25,34,False
2018-03-04,30,False
2018-03-11,38,False
2018-03-18,11,False
2018-03-25,23,False
2018-04-01,23,False
2018-04-08,23,False
2018-04-15,20,False
2018-04-22,20,False
2018-04-29,19,False
2018-05-06,40,False
2018-05-13,23,False
2018-05-20,23,False
2018-05-27,26,False
2018-06-03,28,False
2018-06-10,22,False
2018-06-17,35,False
2018-06-24,19,False
2018-07-01,48,False
2018-07-08,54,False
2018-07-15,62,False
2018-07-22,66,False
2018-07-29,92,False
2018-08-05,100,False
2018-08-12,77,False
2018-08-19,66,False
2018-08-26,36,False
2018-09-02,43,False
2018-09-09,46,False
2018-09-16,23,False
2018-09-23,23,False
2018-09-30,15,False
2018-10-07,29,False
2018-10-14,19,False
2018-10-21,12,False
2018-10-28,18,False
2018-11-04,17,False
2018-11-11,22,False
2018-11-18,0,False
2018-11-25,17,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,12,False
2018-12-23,13,False
2018-12-30,12,False
2019-01-06,11,False
2019-01-13,11,False
2019-01-20,16,False
2019-01-27,16,False
2019-02-03,11,False
2019-02-10,19,False
2019-02-17,23,False
2019-02-24,12,False
2019-03-03,0,False
2019-03-10,11,False
2019-03-17,19,False
2019-03-24,27,False
2019-03-31,17,False
2019-04-07,23,False
2019-04-14,19,False
2019-04-21,29,False
2019-04-28,23,False
2019-05-05,22,False
2019-05-12,11,False
2019-05-19,26,False
2019-05-26,11,False
2019-06-02,42,False
2019-06-09,43,False
2019-06-16,15,False
2019-06-23,55,False
2019-06-30,67,False
2019-07-07,63,False
2019-07-14,38,False
2019-07-21,63,False
2019-07-28,52,False
2019-08-04,56,False
2019-08-11,44,False
2019-08-18,48,False
2019-08-25,79,False
2019-09-01,29,False
2019-09-08,22,False
2019-09-15,16,False
2019-09-22,24,False
2019-09-29,21,False
2019-10-06,14,False
2019-10-13,31,False
2019-10-20,18,False
2019-10-27,10,False
2019-11-03,15,False
2019-11-10,15,False
2019-11-17,17,False
2019-11-24,15,False
2019-12-01,10,False
2019-12-08,10,False
2019-12-15,10,False
2019-12-22,11,False
2019-12-29,16,False
2020-01-05,15,False
2020-01-12,10,False
2020-01-19,17,False
2020-01-26,19,False
2020-02-02,15,False
2020-02-09,23,False
2020-02-16,25,False
2020-02-23,19,False
2020-03-01,19,False
2020-03-08,28,False
2020-03-15,9,False
2020-03-22,23,False
2020-03-29,26,False
2020-04-05,47,False
2020-04-12,66,False
2020-04-19,55,False
2020-04-26,42,False
2020-05-03,61,False
2020-05-10,59,False
2020-05-17,92,True
