date,Hochzeitsfotografin,isPartial
2018-01-07,0,False
2018-01-14,30,False
2018-01-21,0,False
2018-01-28,15,False
2018-02-04,31,False
2018-02-11,16,False
2018-02-18,0,False
2018-02-25,15,False
2018-03-04,15,False
2018-03-11,15,False
2018-03-18,15,False
2018-03-25,16,False
2018-04-01,17,False
2018-04-08,16,False
2018-04-15,16,False
2018-04-22,0,False
2018-04-29,16,False
2018-05-06,0,False
2018-05-13,31,False
2018-05-20,16,False
2018-05-27,32,False
2018-06-03,48,False
2018-06-10,15,False
2018-06-17,15,False
2018-06-24,16,False
2018-07-01,15,False
2018-07-08,15,False
2018-07-15,32,False
2018-07-22,16,False
2018-07-29,16,False
2018-08-05,16,False
2018-08-12,16,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,16,False
2018-09-09,0,False
2018-09-16,23,False
2018-09-23,24,False
2018-09-30,16,False
2018-10-07,23,False
2018-10-14,0,False
2018-10-21,46,False
2018-10-28,15,False
2018-11-04,30,False
2018-11-11,30,False
2018-11-18,15,False
2018-11-25,30,False
2018-12-02,15,False
2018-12-09,31,False
2018-12-16,62,False
2018-12-23,35,False
2018-12-30,32,False
2019-01-06,14,False
2019-01-13,14,False
2019-01-20,35,False
2019-01-27,14,False
2019-02-03,43,False
2019-02-10,15,False
2019-02-17,15,False
2019-02-24,15,False
2019-03-03,22,False
2019-03-10,14,False
2019-03-17,76,False
2019-03-24,22,False
2019-03-31,37,False
2019-04-07,0,False
2019-04-14,16,False
2019-04-21,16,False
2019-04-28,15,False
2019-05-05,14,False
2019-05-12,22,False
2019-05-19,14,False
2019-05-26,15,False
2019-06-02,15,False
2019-06-09,0,False
2019-06-16,15,False
2019-06-23,23,False
2019-06-30,15,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,16,False
2019-07-28,0,False
2019-08-04,16,False
2019-08-11,30,False
2019-08-18,15,False
2019-08-25,15,False
2019-09-01,14,False
2019-09-08,44,False
2019-09-15,30,False
2019-09-22,14,False
2019-09-29,29,False
2019-10-06,14,False
2019-10-13,14,False
2019-10-20,28,False
2019-10-27,28,False
2019-11-03,27,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,27,False
2019-12-01,21,False
2019-12-08,41,False
2019-12-15,14,False
2019-12-22,16,False
2019-12-29,15,False
2020-01-05,39,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,19,False
2020-02-02,0,False
2020-02-09,19,False
2020-02-16,0,False
2020-02-23,19,False
2020-03-01,25,False
2020-03-08,24,False
2020-03-15,24,False
2020-03-22,18,False
2020-03-29,24,False
2020-04-05,13,False
2020-04-12,100,True
