date,fausse pelouse,isPartial
2018-01-07,18,False
2018-01-14,18,False
2018-01-21,9,False
2018-01-28,22,False
2018-02-04,9,False
2018-02-11,9,False
2018-02-18,18,False
2018-02-25,21,False
2018-03-04,15,False
2018-03-11,9,False
2018-03-18,32,False
2018-03-25,28,False
2018-04-01,46,False
2018-04-08,45,False
2018-04-15,59,False
2018-04-22,50,False
2018-04-29,19,False
2018-05-06,54,False
2018-05-13,24,False
2018-05-20,37,False
2018-05-27,33,False
2018-06-03,21,False
2018-06-10,26,False
2018-06-17,24,False
2018-06-24,24,False
2018-07-01,31,False
2018-07-08,25,False
2018-07-15,26,False
2018-07-22,34,False
2018-07-29,25,False
2018-08-05,33,False
2018-08-12,20,False
2018-08-19,15,False
2018-08-26,14,False
2018-09-02,9,False
2018-09-09,9,False
2018-09-16,32,False
2018-09-23,28,False
2018-09-30,15,False
2018-10-07,9,False
2018-10-14,9,False
2018-10-21,14,False
2018-10-28,19,False
2018-11-04,18,False
2018-11-11,18,False
2018-11-18,9,False
2018-11-25,9,False
2018-12-02,15,False
2018-12-09,0,False
2018-12-16,9,False
2018-12-23,10,False
2018-12-30,15,False
2019-01-06,9,False
2019-01-13,9,False
2019-01-20,17,False
2019-01-27,14,False
2019-02-03,9,False
2019-02-10,18,False
2019-02-17,34,False
2019-02-24,28,False
2019-03-03,21,False
2019-03-10,12,False
2019-03-17,31,False
2019-03-24,34,False
2019-03-31,33,False
2019-04-07,37,False
2019-04-14,40,False
2019-04-21,43,False
2019-04-28,45,False
2019-05-05,18,False
2019-05-12,12,False
2019-05-19,21,False
2019-05-26,51,False
2019-06-02,19,False
2019-06-09,23,False
2019-06-16,39,False
2019-06-23,32,False
2019-06-30,36,False
2019-07-07,21,False
2019-07-14,34,False
2019-07-21,38,False
2019-07-28,43,False
2019-08-04,14,False
2019-08-11,13,False
2019-08-18,14,False
2019-08-25,13,False
2019-09-01,17,False
2019-09-08,11,False
2019-09-15,17,False
2019-09-22,21,False
2019-09-29,8,False
2019-10-06,14,False
2019-10-13,0,False
2019-10-20,13,False
2019-10-27,11,False
2019-11-03,13,False
2019-11-10,8,False
2019-11-17,8,False
2019-11-24,8,False
2019-12-01,20,False
2019-12-08,8,False
2019-12-15,8,False
2019-12-22,0,False
2019-12-29,9,False
2020-01-05,24,False
2020-01-12,10,False
2020-01-19,16,False
2020-01-26,10,False
2020-02-02,12,False
2020-02-09,12,False
2020-02-16,24,False
2020-02-23,18,False
2020-03-01,15,False
2020-03-08,20,False
2020-03-15,33,False
2020-03-22,51,False
2020-03-29,30,False
2020-04-05,49,False
2020-04-12,60,False
2020-04-19,40,False
2020-04-26,26,False
2020-05-03,38,False
2020-05-10,26,False
2020-05-17,85,False
2020-05-24,100,False
2020-05-31,62,False
2020-06-07,26,False
2020-06-14,42,False
2020-06-21,41,True
