date,Coach personnel,isPartial
2018-01-07,53,False
2018-01-14,26,False
2018-01-21,26,False
2018-01-28,0,False
2018-02-04,39,False
2018-02-11,0,False
2018-02-18,54,False
2018-02-25,25,False
2018-03-04,39,False
2018-03-11,26,False
2018-03-18,81,False
2018-03-25,27,False
2018-04-01,28,False
2018-04-08,0,False
2018-04-15,45,False
2018-04-22,28,False
2018-04-29,28,False
2018-05-06,0,False
2018-05-13,41,False
2018-05-20,38,False
2018-05-27,41,False
2018-06-03,28,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,28,False
2018-07-01,55,False
2018-07-08,56,False
2018-07-15,29,False
2018-07-22,29,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,62,False
2018-08-19,30,False
2018-08-26,28,False
2018-09-02,0,False
2018-09-09,70,False
2018-09-16,28,False
2018-09-23,0,False
2018-09-30,28,False
2018-10-07,42,False
2018-10-14,29,False
2018-10-21,29,False
2018-10-28,42,False
2018-11-04,41,False
2018-11-11,55,False
2018-11-18,27,False
2018-11-25,27,False
2018-12-02,27,False
2018-12-09,0,False
2018-12-16,28,False
2018-12-23,31,False
2018-12-30,29,False
2019-01-06,40,False
2019-01-13,27,False
2019-01-20,39,False
2019-01-27,25,False
2019-02-03,26,False
2019-02-10,26,False
2019-02-17,41,False
2019-02-24,27,False
2019-03-03,26,False
2019-03-10,26,False
2019-03-17,28,False
2019-03-24,91,False
2019-03-31,25,False
2019-04-07,26,False
2019-04-14,26,False
2019-04-21,53,False
2019-04-28,25,False
2019-05-05,25,False
2019-05-12,25,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,26,False
2019-06-09,41,False
2019-06-16,52,False
2019-06-23,39,False
2019-06-30,26,False
2019-07-07,0,False
2019-07-14,35,False
2019-07-21,26,False
2019-07-28,27,False
2019-08-04,55,False
2019-08-11,0,False
2019-08-18,58,False
2019-08-25,0,False
2019-09-01,24,False
2019-09-08,25,False
2019-09-15,24,False
2019-09-22,36,False
2019-09-29,33,False
2019-10-06,38,False
2019-10-13,100,False
2019-10-20,37,False
2019-10-27,0,False
2019-11-03,23,False
2019-11-10,24,False
2019-11-17,35,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,22,False
2019-12-15,46,False
2019-12-22,25,False
2019-12-29,24,False
2020-01-05,34,False
2020-01-12,30,False
2020-01-19,23,False
2020-01-26,55,False
2020-02-02,44,False
2020-02-09,22,False
2020-02-16,32,False
2020-02-23,0,False
2020-03-01,22,False
2020-03-08,36,False
2020-03-15,20,False
2020-03-22,20,False
2020-03-29,20,False
2020-04-05,27,False
2020-04-12,81,False
2020-04-19,21,False
2020-04-26,32,False
2020-05-03,39,False
2020-05-10,20,False
2020-05-17,51,True
