date,décoration de mariage,isPartial
2018-01-07,59,False
2018-01-14,29,False
2018-01-21,39,False
2018-01-28,59,False
2018-02-04,0,False
2018-02-11,30,False
2018-02-18,21,False
2018-02-25,0,False
2018-03-04,40,False
2018-03-11,40,False
2018-03-18,20,False
2018-03-25,30,False
2018-04-01,42,False
2018-04-08,30,False
2018-04-15,54,False
2018-04-22,21,False
2018-04-29,52,False
2018-05-06,43,False
2018-05-13,49,False
2018-05-20,41,False
2018-05-27,19,False
2018-06-03,77,False
2018-06-10,19,False
2018-06-17,29,False
2018-06-24,20,False
2018-07-01,39,False
2018-07-08,61,False
2018-07-15,22,False
2018-07-22,45,False
2018-07-29,47,False
2018-08-05,49,False
2018-08-12,51,False
2018-08-19,47,False
2018-08-26,32,False
2018-09-02,50,False
2018-09-09,39,False
2018-09-16,20,False
2018-09-23,79,False
2018-09-30,40,False
2018-10-07,39,False
2018-10-14,28,False
2018-10-21,38,False
2018-10-28,83,False
2018-11-04,19,False
2018-11-11,28,False
2018-11-18,0,False
2018-11-25,39,False
2018-12-02,19,False
2018-12-09,61,False
2018-12-16,20,False
2018-12-23,25,False
2018-12-30,68,False
2019-01-06,89,False
2019-01-13,69,False
2019-01-20,29,False
2019-01-27,0,False
2019-02-03,46,False
2019-02-10,19,False
2019-02-17,79,False
2019-02-24,41,False
2019-03-03,29,False
2019-03-10,59,False
2019-03-17,70,False
2019-03-24,31,False
2019-03-31,61,False
2019-04-07,42,False
2019-04-14,21,False
2019-04-21,34,False
2019-04-28,33,False
2019-05-05,54,False
2019-05-12,32,False
2019-05-19,21,False
2019-05-26,43,False
2019-06-02,38,False
2019-06-09,21,False
2019-06-16,41,False
2019-06-23,21,False
2019-06-30,0,False
2019-07-07,42,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,26,False
2019-08-04,66,False
2019-08-11,55,False
2019-08-18,26,False
2019-08-25,46,False
2019-09-01,31,False
2019-09-08,50,False
2019-09-15,100,False
2019-09-22,78,False
2019-09-29,29,False
2019-10-06,20,False
2019-10-13,40,False
2019-10-20,51,False
2019-10-27,63,False
2019-11-03,0,False
2019-11-10,30,False
2019-11-17,40,False
2019-11-24,19,False
2019-12-01,38,False
2019-12-08,29,False
2019-12-15,59,False
2019-12-22,48,False
2019-12-29,22,False
2020-01-05,57,False
2020-01-12,57,False
2020-01-19,0,False
2020-01-26,19,False
2020-02-02,77,False
2020-02-09,39,False
2020-02-16,40,False
2020-02-23,28,False
2020-03-01,55,False
2020-03-08,64,False
2020-03-15,19,False
2020-03-22,59,False
2020-03-29,0,False
2020-04-05,29,False
2020-04-12,0,True
