date,Poder Notarial,isPartial
2018-01-07,40,False
2018-01-14,60,False
2018-01-21,89,False
2018-01-28,20,False
2018-02-04,78,False
2018-02-11,20,False
2018-02-18,40,False
2018-02-25,58,False
2018-03-04,39,False
2018-03-11,48,False
2018-03-18,50,False
2018-03-25,39,False
2018-04-01,40,False
2018-04-08,19,False
2018-04-15,39,False
2018-04-22,0,False
2018-04-29,22,False
2018-05-06,58,False
2018-05-13,0,False
2018-05-20,39,False
2018-05-27,76,False
2018-06-03,29,False
2018-06-10,48,False
2018-06-17,21,False
2018-06-24,42,False
2018-07-01,64,False
2018-07-08,22,False
2018-07-15,70,False
2018-07-22,74,False
2018-07-29,100,False
2018-08-05,54,False
2018-08-12,29,False
2018-08-19,67,False
2018-08-26,95,False
2018-09-02,41,False
2018-09-09,40,False
2018-09-16,58,False
2018-09-23,38,False
2018-09-30,0,False
2018-10-07,20,False
2018-10-14,57,False
2018-10-21,0,False
2018-10-28,20,False
2018-11-04,43,False
2018-11-11,54,False
2018-11-18,18,False
2018-11-25,35,False
2018-12-02,47,False
2018-12-09,58,False
2018-12-16,58,False
2018-12-23,47,False
2018-12-30,41,False
2019-01-06,39,False
2019-01-13,37,False
2019-01-20,17,False
2019-01-27,41,False
2019-02-03,65,False
2019-02-10,37,False
2019-02-17,28,False
2019-02-24,58,False
2019-03-03,48,False
2019-03-10,19,False
2019-03-17,19,False
2019-03-24,58,False
2019-03-31,28,False
2019-04-07,33,False
2019-04-14,0,False
2019-04-21,38,False
2019-04-28,59,False
2019-05-05,42,False
2019-05-12,47,False
2019-05-19,37,False
2019-05-26,27,False
2019-06-02,35,False
2019-06-09,52,False
2019-06-16,29,False
2019-06-23,20,False
2019-06-30,60,False
2019-07-07,19,False
2019-07-14,44,False
2019-07-21,21,False
2019-07-28,48,False
2019-08-04,26,False
2019-08-11,42,False
2019-08-18,26,False
2019-08-25,23,False
2019-09-01,54,False
2019-09-08,27,False
2019-09-15,52,False
2019-09-22,36,False
2019-09-29,61,False
2019-10-06,17,False
2019-10-13,34,False
2019-10-20,51,False
2019-10-27,36,False
2019-11-03,67,False
2019-11-10,25,False
2019-11-17,67,False
2019-11-24,32,False
2019-12-01,18,False
2019-12-08,18,False
2019-12-15,43,False
2019-12-22,31,False
2019-12-29,20,False
2020-01-05,26,False
2020-01-12,24,False
2020-01-19,48,False
2020-01-26,49,False
2020-02-02,49,False
2020-02-09,24,False
2020-02-16,50,False
2020-02-23,40,False
2020-03-01,47,False
2020-03-08,38,False
2020-03-15,16,False
2020-03-22,0,False
2020-03-29,23,False
2020-04-05,25,False
2020-04-12,40,True
