date,Poder Notarial,isPartial
2018-01-07,55,False
2018-01-14,0,False
2018-01-21,27,False
2018-01-28,27,False
2018-02-04,27,False
2018-02-11,54,False
2018-02-18,54,False
2018-02-25,52,False
2018-03-04,0,False
2018-03-11,27,False
2018-03-18,0,False
2018-03-25,60,False
2018-04-01,0,False
2018-04-08,52,False
2018-04-15,27,False
2018-04-22,27,False
2018-04-29,40,False
2018-05-06,38,False
2018-05-13,27,False
2018-05-20,41,False
2018-05-27,27,False
2018-06-03,0,False
2018-06-10,25,False
2018-06-17,56,False
2018-06-24,0,False
2018-07-01,55,False
2018-07-08,40,False
2018-07-15,27,False
2018-07-22,41,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,30,False
2018-08-26,28,False
2018-09-02,27,False
2018-09-09,0,False
2018-09-16,26,False
2018-09-23,27,False
2018-09-30,27,False
2018-10-07,0,False
2018-10-14,26,False
2018-10-21,0,False
2018-10-28,82,False
2018-11-04,26,False
2018-11-11,0,False
2018-11-18,77,False
2018-11-25,54,False
2018-12-02,0,False
2018-12-09,28,False
2018-12-16,0,False
2018-12-23,67,False
2018-12-30,31,False
2019-01-06,27,False
2019-01-13,0,False
2019-01-20,25,False
2019-01-27,52,False
2019-02-03,26,False
2019-02-10,53,False
2019-02-17,67,False
2019-02-24,0,False
2019-03-03,27,False
2019-03-10,0,False
2019-03-17,66,False
2019-03-24,26,False
2019-03-31,26,False
2019-04-07,53,False
2019-04-14,0,False
2019-04-21,53,False
2019-04-28,25,False
2019-05-05,25,False
2019-05-12,76,False
2019-05-19,25,False
2019-05-26,49,False
2019-06-02,25,False
2019-06-09,0,False
2019-06-16,52,False
2019-06-23,0,False
2019-06-30,53,False
2019-07-07,76,False
2019-07-14,52,False
2019-07-21,27,False
2019-07-28,0,False
2019-08-04,29,False
2019-08-11,58,False
2019-08-18,0,False
2019-08-25,26,False
2019-09-01,25,False
2019-09-08,25,False
2019-09-15,24,False
2019-09-22,49,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,24,False
2019-10-20,47,False
2019-10-27,37,False
2019-11-03,24,False
2019-11-10,24,False
2019-11-17,48,False
2019-11-24,23,False
2019-12-01,0,False
2019-12-08,100,False
2019-12-15,49,False
2019-12-22,56,False
2019-12-29,54,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,44,False
2020-01-26,0,False
2020-02-02,35,False
2020-02-09,94,False
2020-02-16,35,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,45,False
2020-03-15,46,False
2020-03-22,64,False
2020-03-29,0,False
2020-04-05,23,False
2020-04-12,0,True
