date,capelli corti,isPartial
2018-01-07,51,False
2018-01-14,38,False
2018-01-21,38,False
2018-01-28,12,False
2018-02-04,49,False
2018-02-11,37,False
2018-02-18,24,False
2018-02-25,45,False
2018-03-04,24,False
2018-03-11,24,False
2018-03-18,24,False
2018-03-25,38,False
2018-04-01,13,False
2018-04-08,49,False
2018-04-15,89,False
2018-04-22,79,False
2018-04-29,49,False
2018-05-06,36,False
2018-05-13,25,False
2018-05-20,50,False
2018-05-27,26,False
2018-06-03,75,False
2018-06-10,60,False
2018-06-17,63,False
2018-06-24,39,False
2018-07-01,51,False
2018-07-08,25,False
2018-07-15,39,False
2018-07-22,13,False
2018-07-29,77,False
2018-08-05,52,False
2018-08-12,39,False
2018-08-19,62,False
2018-08-26,50,False
2018-09-02,25,False
2018-09-09,25,False
2018-09-16,84,False
2018-09-23,37,False
2018-09-30,12,False
2018-10-07,13,False
2018-10-14,63,False
2018-10-21,13,False
2018-10-28,61,False
2018-11-04,49,False
2018-11-11,26,False
2018-11-18,12,False
2018-11-25,12,False
2018-12-02,25,False
2018-12-09,38,False
2018-12-16,26,False
2018-12-23,29,False
2018-12-30,26,False
2019-01-06,25,False
2019-01-13,36,False
2019-01-20,34,False
2019-01-27,57,False
2019-02-03,46,False
2019-02-10,12,False
2019-02-17,12,False
2019-02-24,50,False
2019-03-03,25,False
2019-03-10,24,False
2019-03-17,25,False
2019-03-24,25,False
2019-03-31,49,False
2019-04-07,24,False
2019-04-14,12,False
2019-04-21,61,False
2019-04-28,36,False
2019-05-05,35,False
2019-05-12,46,False
2019-05-19,34,False
2019-05-26,11,False
2019-06-02,100,False
2019-06-09,37,False
2019-06-16,75,False
2019-06-23,26,False
2019-06-30,52,False
2019-07-07,25,False
2019-07-14,25,False
2019-07-21,13,False
2019-07-28,39,False
2019-08-04,26,False
2019-08-11,40,False
2019-08-18,35,False
2019-08-25,34,False
2019-09-01,34,False
2019-09-08,47,False
2019-09-15,34,False
2019-09-22,88,False
2019-09-29,22,False
2019-10-06,0,False
2019-10-13,46,False
2019-10-20,33,False
2019-10-27,11,False
2019-11-03,54,False
2019-11-10,33,False
2019-11-17,33,False
2019-11-24,67,False
2019-12-01,100,False
2019-12-08,23,False
2019-12-15,92,False
2019-12-22,0,False
2019-12-29,69,False
2020-01-05,22,False
2020-01-12,31,False
2020-01-19,0,False
2020-01-26,41,False
2020-02-02,10,False
2020-02-09,42,False
2020-02-16,52,False
2020-02-23,29,False
2020-03-01,38,False
2020-03-08,9,False
2020-03-15,18,False
2020-03-22,0,False
2020-03-29,34,False
2020-04-05,0,False
2020-04-12,46,False
2020-04-19,17,False
2020-04-26,30,True
