date,Gas Installateur,isPartial
2018-01-07,28,False
2018-01-14,85,False
2018-01-21,28,False
2018-01-28,42,False
2018-02-04,42,False
2018-02-11,29,False
2018-02-18,57,False
2018-02-25,57,False
2018-03-04,38,False
2018-03-11,42,False
2018-03-18,29,False
2018-03-25,31,False
2018-04-01,0,False
2018-04-08,30,False
2018-04-15,31,False
2018-04-22,61,False
2018-04-29,31,False
2018-05-06,0,False
2018-05-13,29,False
2018-05-20,30,False
2018-05-27,41,False
2018-06-03,0,False
2018-06-10,30,False
2018-06-17,30,False
2018-06-24,31,False
2018-07-01,48,False
2018-07-08,64,False
2018-07-15,32,False
2018-07-22,32,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,61,False
2018-08-19,30,False
2018-08-26,0,False
2018-09-02,29,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,60,False
2018-09-30,63,False
2018-10-07,45,False
2018-10-14,86,False
2018-10-21,28,False
2018-10-28,100,False
2018-11-04,47,False
2018-11-11,58,False
2018-11-18,58,False
2018-11-25,30,False
2018-12-02,30,False
2018-12-09,30,False
2018-12-16,31,False
2018-12-23,36,False
2018-12-30,48,False
2019-01-06,30,False
2019-01-13,29,False
2019-01-20,28,False
2019-01-27,47,False
2019-02-03,29,False
2019-02-10,28,False
2019-02-17,43,False
2019-02-24,58,False
2019-03-03,28,False
2019-03-10,57,False
2019-03-17,30,False
2019-03-24,29,False
2019-03-31,57,False
2019-04-07,38,False
2019-04-14,31,False
2019-04-21,31,False
2019-04-28,59,False
2019-05-05,0,False
2019-05-12,43,False
2019-05-19,28,False
2019-05-26,29,False
2019-06-02,28,False
2019-06-09,29,False
2019-06-16,30,False
2019-06-23,60,False
2019-06-30,30,False
2019-07-07,30,False
2019-07-14,0,False
2019-07-21,53,False
2019-07-28,0,False
2019-08-04,30,False
2019-08-11,38,False
2019-08-18,0,False
2019-08-25,28,False
2019-09-01,37,False
2019-09-08,29,False
2019-09-15,29,False
2019-09-22,67,False
2019-09-29,45,False
2019-10-06,43,False
2019-10-13,27,False
2019-10-20,27,False
2019-10-27,54,False
2019-11-03,27,False
2019-11-10,39,False
2019-11-17,67,False
2019-11-24,39,False
2019-12-01,27,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,30,False
2020-01-05,27,False
2020-01-12,64,False
2020-01-19,52,False
2020-01-26,38,False
2020-02-02,59,False
2020-02-09,25,False
2020-02-16,0,False
2020-02-23,59,False
2020-03-01,25,False
2020-03-08,0,False
2020-03-15,24,False
2020-03-22,0,False
2020-03-29,24,False
2020-04-05,0,False
2020-04-12,37,False
2020-04-19,36,False
2020-04-26,24,False
2020-05-03,24,False
2020-05-10,24,False
