date,Granitsteine,isPartial
2018-01-07,29,False
2018-01-14,14,False
2018-01-21,21,False
2018-01-28,33,False
2018-02-04,44,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,30,False
2018-03-04,45,False
2018-03-11,0,False
2018-03-18,52,False
2018-03-25,53,False
2018-04-01,49,False
2018-04-08,82,False
2018-04-15,46,False
2018-04-22,65,False
2018-04-29,61,False
2018-05-06,52,False
2018-05-13,54,False
2018-05-20,79,False
2018-05-27,53,False
2018-06-03,35,False
2018-06-10,43,False
2018-06-17,43,False
2018-06-24,43,False
2018-07-01,66,False
2018-07-08,33,False
2018-07-15,33,False
2018-07-22,43,False
2018-07-29,39,False
2018-08-05,26,False
2018-08-12,37,False
2018-08-19,43,False
2018-08-26,32,False
2018-09-02,62,False
2018-09-09,40,False
2018-09-16,30,False
2018-09-23,40,False
2018-09-30,30,False
2018-10-07,39,False
2018-10-14,30,False
2018-10-21,20,False
2018-10-28,22,False
2018-11-04,21,False
2018-11-11,14,False
2018-11-18,35,False
2018-11-25,19,False
2018-12-02,14,False
2018-12-09,14,False
2018-12-16,15,False
2018-12-23,17,False
2018-12-30,15,False
2019-01-06,14,False
2019-01-13,13,False
2019-01-20,0,False
2019-01-27,13,False
2019-02-03,20,False
2019-02-10,20,False
2019-02-17,21,False
2019-02-24,42,False
2019-03-03,28,False
2019-03-10,21,False
2019-03-17,68,False
2019-03-24,58,False
2019-03-31,63,False
2019-04-07,61,False
2019-04-14,36,False
2019-04-21,50,False
2019-04-28,70,False
2019-05-05,72,False
2019-05-12,41,False
2019-05-19,45,False
2019-05-26,24,False
2019-06-02,57,False
2019-06-09,50,False
2019-06-16,54,False
2019-06-23,24,False
2019-06-30,19,False
2019-07-07,44,False
2019-07-14,21,False
2019-07-21,34,False
2019-07-28,47,False
2019-08-04,64,False
2019-08-11,35,False
2019-08-18,61,False
2019-08-25,52,False
2019-09-01,28,False
2019-09-08,32,False
2019-09-15,42,False
2019-09-22,40,False
2019-09-29,42,False
2019-10-06,33,False
2019-10-13,36,False
2019-10-20,13,False
2019-10-27,20,False
2019-11-03,13,False
2019-11-10,20,False
2019-11-17,26,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,13,False
2019-12-15,14,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,13,False
2020-01-12,31,False
2020-01-19,13,False
2020-01-26,13,False
2020-02-02,19,False
2020-02-09,12,False
2020-02-16,13,False
2020-02-23,25,False
2020-03-01,33,False
2020-03-08,29,False
2020-03-15,22,False
2020-03-22,38,False
2020-03-29,53,False
2020-04-05,70,False
2020-04-12,95,False
2020-04-19,85,False
2020-04-26,68,False
2020-05-03,100,False
2020-05-10,85,False
