date,Ausbau,isPartial
2018-01-07,43,False
2018-01-14,32,False
2018-01-21,32,False
2018-01-28,65,False
2018-02-04,33,False
2018-02-11,44,False
2018-02-18,44,False
2018-02-25,54,False
2018-03-04,64,False
2018-03-11,63,False
2018-03-18,76,False
2018-03-25,23,False
2018-04-01,59,False
2018-04-08,43,False
2018-04-15,33,False
2018-04-22,45,False
2018-04-29,34,False
2018-05-06,22,False
2018-05-13,65,False
2018-05-20,89,False
2018-05-27,86,False
2018-06-03,53,False
2018-06-10,21,False
2018-06-17,32,False
2018-06-24,21,False
2018-07-01,42,False
2018-07-08,76,False
2018-07-15,35,False
2018-07-22,37,False
2018-07-29,52,False
2018-08-05,23,False
2018-08-12,55,False
2018-08-19,65,False
2018-08-26,42,False
2018-09-02,31,False
2018-09-09,84,False
2018-09-16,42,False
2018-09-23,32,False
2018-09-30,43,False
2018-10-07,34,False
2018-10-14,67,False
2018-10-21,63,False
2018-10-28,20,False
2018-11-04,19,False
2018-11-11,21,False
2018-11-18,42,False
2018-11-25,0,False
2018-12-02,44,False
2018-12-09,43,False
2018-12-16,46,False
2018-12-23,89,False
2018-12-30,48,False
2019-01-06,76,False
2019-01-13,21,False
2019-01-20,50,False
2019-01-27,19,False
2019-02-03,55,False
2019-02-10,34,False
2019-02-17,23,False
2019-02-24,62,False
2019-03-03,37,False
2019-03-10,21,False
2019-03-17,53,False
2019-03-24,74,False
2019-03-31,21,False
2019-04-07,51,False
2019-04-14,23,False
2019-04-21,36,False
2019-04-28,19,False
2019-05-05,62,False
2019-05-12,31,False
2019-05-19,52,False
2019-05-26,100,False
2019-06-02,20,False
2019-06-09,21,False
2019-06-16,44,False
2019-06-23,34,False
2019-06-30,31,False
2019-07-07,52,False
2019-07-14,23,False
2019-07-21,51,False
2019-07-28,40,False
2019-08-04,0,False
2019-08-11,66,False
2019-08-18,53,False
2019-08-25,42,False
2019-09-01,57,False
2019-09-08,63,False
2019-09-15,41,False
2019-09-22,20,False
2019-09-29,31,False
2019-10-06,43,False
2019-10-13,42,False
2019-10-20,60,False
2019-10-27,20,False
2019-11-03,59,False
2019-11-10,0,False
2019-11-17,60,False
2019-11-24,39,False
2019-12-01,60,False
2019-12-08,0,False
2019-12-15,41,False
2019-12-22,26,False
2019-12-29,37,False
2020-01-05,50,False
2020-01-12,38,False
2020-01-19,39,False
2020-01-26,78,False
2020-02-02,39,False
2020-02-09,30,False
2020-02-16,20,False
2020-02-23,18,False
2020-03-01,37,False
2020-03-08,45,False
2020-03-15,38,False
2020-03-22,27,False
2020-03-29,73,False
2020-04-05,60,False
2020-04-12,60,False
2020-04-19,48,False
2020-04-26,55,False
2020-05-03,56,False
2020-05-10,46,False
2020-05-17,79,False
2020-05-24,38,False
2020-05-31,74,False
2020-06-07,36,False
2020-06-14,28,False
2020-06-21,58,False
2020-06-28,85,False
2020-07-05,59,False
