date,Heizung erneuern,isPartial
2018-01-07,24,False
2018-01-14,53,False
2018-01-21,14,False
2018-01-28,29,False
2018-02-04,40,False
2018-02-11,37,False
2018-02-18,30,False
2018-02-25,44,False
2018-03-04,15,False
2018-03-11,34,False
2018-03-18,39,False
2018-03-25,16,False
2018-04-01,16,False
2018-04-08,35,False
2018-04-15,31,False
2018-04-22,25,False
2018-04-29,36,False
2018-05-06,0,False
2018-05-13,34,False
2018-05-20,40,False
2018-05-27,23,False
2018-06-03,37,False
2018-06-10,43,False
2018-06-17,24,False
2018-06-24,25,False
2018-07-01,22,False
2018-07-08,30,False
2018-07-15,46,False
2018-07-22,0,False
2018-07-29,26,False
2018-08-05,15,False
2018-08-12,39,False
2018-08-19,30,False
2018-08-26,46,False
2018-09-02,20,False
2018-09-09,45,False
2018-09-16,15,False
2018-09-23,20,False
2018-09-30,45,False
2018-10-07,20,False
2018-10-14,40,False
2018-10-21,15,False
2018-10-28,39,False
2018-11-04,28,False
2018-11-11,44,False
2018-11-18,37,False
2018-11-25,34,False
2018-12-02,19,False
2018-12-09,24,False
2018-12-16,30,False
2018-12-23,23,False
2018-12-30,25,False
2019-01-06,27,False
2019-01-13,27,False
2019-01-20,22,False
2019-01-27,31,False
2019-02-03,37,False
2019-02-10,42,False
2019-02-17,56,False
2019-02-24,14,False
2019-03-03,41,False
2019-03-10,59,False
2019-03-17,52,False
2019-03-24,38,False
2019-03-31,43,False
2019-04-07,77,False
2019-04-14,31,False
2019-04-21,60,False
2019-04-28,37,False
2019-05-05,55,False
2019-05-12,24,False
2019-05-19,14,False
2019-05-26,36,False
2019-06-02,14,False
2019-06-09,53,False
2019-06-16,29,False
2019-06-23,19,False
2019-06-30,28,False
2019-07-07,28,False
2019-07-14,29,False
2019-07-21,31,False
2019-07-28,22,False
2019-08-04,30,False
2019-08-11,47,False
2019-08-18,24,False
2019-08-25,57,False
2019-09-01,42,False
2019-09-08,28,False
2019-09-15,70,False
2019-09-22,100,False
2019-09-29,83,False
2019-10-06,45,False
2019-10-13,74,False
2019-10-20,63,False
2019-10-27,49,False
2019-11-03,38,False
2019-11-10,87,False
2019-11-17,52,False
2019-11-24,38,False
2019-12-01,22,False
2019-12-08,61,False
2019-12-15,22,False
2019-12-22,30,False
2019-12-29,47,False
2020-01-05,55,False
2020-01-12,73,False
2020-01-19,87,False
2020-01-26,70,False
2020-02-02,41,False
2020-02-09,61,False
2020-02-16,25,False
2020-02-23,41,False
2020-03-01,32,False
2020-03-08,57,False
2020-03-15,37,False
2020-03-22,15,False
2020-03-29,22,False
2020-04-05,29,False
2020-04-12,55,False
2020-04-19,42,False
2020-04-26,41,False
2020-05-03,19,False
2020-05-10,53,False
