date,Zimmerei,isPartial
2018-01-07,26,False
2018-01-14,75,False
2018-01-21,34,False
2018-01-28,25,False
2018-02-04,34,False
2018-02-11,33,False
2018-02-18,36,False
2018-02-25,37,False
2018-03-04,51,False
2018-03-11,25,False
2018-03-18,50,False
2018-03-25,61,False
2018-04-01,80,False
2018-04-08,34,False
2018-04-15,44,False
2018-04-22,75,False
2018-04-29,54,False
2018-05-06,67,False
2018-05-13,52,False
2018-05-20,47,False
2018-05-27,88,False
2018-06-03,38,False
2018-06-10,24,False
2018-06-17,25,False
2018-06-24,43,False
2018-07-01,34,False
2018-07-08,39,False
2018-07-15,71,False
2018-07-22,28,False
2018-07-29,28,False
2018-08-05,27,False
2018-08-12,25,False
2018-08-19,44,False
2018-08-26,79,False
2018-09-02,66,False
2018-09-09,26,False
2018-09-16,43,False
2018-09-23,53,False
2018-09-30,28,False
2018-10-07,41,False
2018-10-14,34,False
2018-10-21,41,False
2018-10-28,25,False
2018-11-04,57,False
2018-11-11,25,False
2018-11-18,24,False
2018-11-25,49,False
2018-12-02,32,False
2018-12-09,33,False
2018-12-16,26,False
2018-12-23,36,False
2018-12-30,29,False
2019-01-06,59,False
2019-01-13,55,False
2019-01-20,47,False
2019-01-27,35,False
2019-02-03,0,False
2019-02-10,40,False
2019-02-17,33,False
2019-02-24,49,False
2019-03-03,25,False
2019-03-10,25,False
2019-03-17,66,False
2019-03-24,25,False
2019-03-31,100,False
2019-04-07,50,False
2019-04-14,41,False
2019-04-21,27,False
2019-04-28,25,False
2019-05-05,49,False
2019-05-12,26,False
2019-05-19,25,False
2019-05-26,53,False
2019-06-02,26,False
2019-06-09,27,False
2019-06-16,41,False
2019-06-23,55,False
2019-06-30,37,False
2019-07-07,43,False
2019-07-14,49,False
2019-07-21,54,False
2019-07-28,30,False
2019-08-04,28,False
2019-08-11,35,False
2019-08-18,41,False
2019-08-25,41,False
2019-09-01,65,False
2019-09-08,27,False
2019-09-15,40,False
2019-09-22,41,False
2019-09-29,50,False
2019-10-06,35,False
2019-10-13,25,False
2019-10-20,23,False
2019-10-27,38,False
2019-11-03,24,False
2019-11-10,42,False
2019-11-17,38,False
2019-11-24,40,False
2019-12-01,38,False
2019-12-08,78,False
2019-12-15,27,False
2019-12-22,0,False
2019-12-29,31,False
2020-01-05,24,False
2020-01-12,39,False
2020-01-19,23,False
2020-01-26,46,False
2020-02-02,31,False
2020-02-09,52,False
2020-02-16,34,False
2020-02-23,27,False
2020-03-01,43,False
2020-03-08,0,False
2020-03-15,20,False
2020-03-22,32,False
2020-03-29,25,False
2020-04-05,27,False
2020-04-12,19,False
2020-04-19,57,False
2020-04-26,19,False
2020-05-03,92,False
2020-05-10,38,False
