date,expert bâtiment,isPartial
2018-01-07,33,False
2018-01-14,33,False
2018-01-21,33,False
2018-01-28,50,False
2018-02-04,66,False
2018-02-11,33,False
2018-02-18,34,False
2018-02-25,0,False
2018-03-04,34,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,34,False
2018-04-01,34,False
2018-04-08,34,False
2018-04-15,90,False
2018-04-22,35,False
2018-04-29,70,False
2018-05-06,36,False
2018-05-13,0,False
2018-05-20,35,False
2018-05-27,67,False
2018-06-03,33,False
2018-06-10,32,False
2018-06-17,51,False
2018-06-24,51,False
2018-07-01,0,False
2018-07-08,34,False
2018-07-15,37,False
2018-07-22,54,False
2018-07-29,37,False
2018-08-05,0,False
2018-08-12,38,False
2018-08-19,55,False
2018-08-26,35,False
2018-09-02,46,False
2018-09-09,46,False
2018-09-16,0,False
2018-09-23,52,False
2018-09-30,68,False
2018-10-07,52,False
2018-10-14,69,False
2018-10-21,69,False
2018-10-28,34,False
2018-11-04,66,False
2018-11-11,33,False
2018-11-18,0,False
2018-11-25,34,False
2018-12-02,67,False
2018-12-09,34,False
2018-12-16,35,False
2018-12-23,0,False
2018-12-30,36,False
2019-01-06,33,False
2019-01-13,50,False
2019-01-20,32,False
2019-01-27,53,False
2019-02-03,43,False
2019-02-10,68,False
2019-02-17,34,False
2019-02-24,85,False
2019-03-03,99,False
2019-03-10,50,False
2019-03-17,35,False
2019-03-24,35,False
2019-03-31,33,False
2019-04-07,68,False
2019-04-14,0,False
2019-04-21,69,False
2019-04-28,34,False
2019-05-05,49,False
2019-05-12,34,False
2019-05-19,55,False
2019-05-26,56,False
2019-06-02,77,False
2019-06-09,32,False
2019-06-16,33,False
2019-06-23,65,False
2019-06-30,66,False
2019-07-07,100,False
2019-07-14,34,False
2019-07-21,0,False
2019-07-28,59,False
2019-08-04,0,False
2019-08-11,36,False
2019-08-18,53,False
2019-08-25,66,False
2019-09-01,64,False
2019-09-08,32,False
2019-09-15,32,False
2019-09-22,41,False
2019-09-29,61,False
2019-10-06,78,False
2019-10-13,62,False
2019-10-20,62,False
2019-10-27,0,False
2019-11-03,60,False
2019-11-10,30,False
2019-11-17,51,False
2019-11-24,60,False
2019-12-01,30,False
2019-12-08,30,False
2019-12-15,30,False
2019-12-22,34,False
2019-12-29,0,False
2020-01-05,29,False
2020-01-12,57,False
2020-01-19,59,False
2020-01-26,43,False
2020-02-02,58,False
2020-02-09,39,False
2020-02-16,29,False
2020-02-23,42,False
2020-03-01,56,False
2020-03-08,41,False
2020-03-15,26,False
2020-03-22,26,False
2020-03-29,39,False
2020-04-05,26,False
2020-04-12,44,False
2020-04-19,39,False
2020-04-26,49,False
2020-05-03,62,False
2020-05-10,52,False
2020-05-17,49,True
