date,Hochzeitstorte bestellen,isPartial
2018-01-07,16,False
2018-01-14,48,False
2018-01-21,16,False
2018-01-28,16,False
2018-02-04,49,False
2018-02-11,0,False
2018-02-18,17,False
2018-02-25,16,False
2018-03-04,16,False
2018-03-11,16,False
2018-03-18,66,False
2018-03-25,35,False
2018-04-01,35,False
2018-04-08,25,False
2018-04-15,17,False
2018-04-22,33,False
2018-04-29,26,False
2018-05-06,35,False
2018-05-13,25,False
2018-05-20,35,False
2018-05-27,17,False
2018-06-03,17,False
2018-06-10,16,False
2018-06-17,0,False
2018-06-24,17,False
2018-07-01,17,False
2018-07-08,49,False
2018-07-15,34,False
2018-07-22,26,False
2018-07-29,68,False
2018-08-05,17,False
2018-08-12,34,False
2018-08-19,43,False
2018-08-26,17,False
2018-09-02,33,False
2018-09-09,100,False
2018-09-16,33,False
2018-09-23,42,False
2018-09-30,25,False
2018-10-07,17,False
2018-10-14,33,False
2018-10-21,16,False
2018-10-28,16,False
2018-11-04,79,False
2018-11-11,0,False
2018-11-18,16,False
2018-11-25,48,False
2018-12-02,16,False
2018-12-09,24,False
2018-12-16,33,False
2018-12-23,38,False
2018-12-30,43,False
2019-01-06,15,False
2019-01-13,38,False
2019-01-20,15,False
2019-01-27,30,False
2019-02-03,15,False
2019-02-10,77,False
2019-02-17,16,False
2019-02-24,16,False
2019-03-03,15,False
2019-03-10,15,False
2019-03-17,32,False
2019-03-24,0,False
2019-03-31,32,False
2019-04-07,16,False
2019-04-14,52,False
2019-04-21,17,False
2019-04-28,31,False
2019-05-05,38,False
2019-05-12,47,False
2019-05-19,38,False
2019-05-26,16,False
2019-06-02,23,False
2019-06-09,32,False
2019-06-16,40,False
2019-06-23,0,False
2019-06-30,24,False
2019-07-07,31,False
2019-07-14,16,False
2019-07-21,17,False
2019-07-28,41,False
2019-08-04,33,False
2019-08-11,16,False
2019-08-18,40,False
2019-08-25,48,False
2019-09-01,31,False
2019-09-08,16,False
2019-09-15,0,False
2019-09-22,15,False
2019-09-29,46,False
2019-10-06,15,False
2019-10-13,30,False
2019-10-20,30,False
2019-10-27,22,False
2019-11-03,29,False
2019-11-10,0,False
2019-11-17,14,False
2019-11-24,14,False
2019-12-01,15,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,67,False
2019-12-29,31,False
2020-01-05,42,False
2020-01-12,41,False
2020-01-19,35,False
2020-01-26,41,False
2020-02-02,28,False
2020-02-09,14,False
2020-02-16,28,False
2020-02-23,20,False
2020-03-01,13,False
2020-03-08,0,False
2020-03-15,12,False
2020-03-22,0,False
2020-03-29,13,False
2020-04-05,0,False
2020-04-12,0,True
