date,Vordach,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,29,False
2018-01-28,0,False
2018-02-04,31,False
2018-02-11,29,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,29,False
2018-03-11,28,False
2018-03-18,0,False
2018-03-25,30,False
2018-04-01,0,False
2018-04-08,30,False
2018-04-15,45,False
2018-04-22,30,False
2018-04-29,30,False
2018-05-06,0,False
2018-05-13,57,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,28,False
2018-07-01,0,False
2018-07-08,29,False
2018-07-15,30,False
2018-07-22,0,False
2018-07-29,30,False
2018-08-05,57,False
2018-08-12,30,False
2018-08-19,28,False
2018-08-26,28,False
2018-09-02,28,False
2018-09-09,28,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,28,False
2018-10-07,0,False
2018-10-14,29,False
2018-10-21,0,False
2018-10-28,43,False
2018-11-04,27,False
2018-11-11,0,False
2018-11-18,26,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,27,False
2019-01-06,24,False
2019-01-13,0,False
2019-01-20,25,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,25,False
2019-02-17,51,False
2019-02-24,0,False
2019-03-03,26,False
2019-03-10,0,False
2019-03-17,26,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,26,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,25,False
2019-05-05,50,False
2019-05-12,25,False
2019-05-19,100,False
2019-05-26,0,False
2019-06-02,26,False
2019-06-09,27,False
2019-06-16,27,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,51,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,26,False
2019-08-04,27,False
2019-08-11,26,False
2019-08-18,25,False
2019-08-25,48,False
2019-09-01,24,False
2019-09-08,25,False
2019-09-15,25,False
2019-09-22,25,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,0,False
2019-10-20,24,False
2019-10-27,0,False
2019-11-03,46,False
2019-11-10,23,False
2019-11-17,24,False
2019-11-24,23,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,22,False
2020-01-12,0,False
2020-01-19,22,False
2020-01-26,22,False
2020-02-02,23,False
2020-02-09,33,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,21,False
2020-03-15,20,False
2020-03-22,37,False
2020-03-29,0,False
2020-04-05,21,False
2020-04-12,20,False
2020-04-19,39,False
2020-04-26,20,False
2020-05-03,61,False
2020-05-10,40,False
2020-05-17,22,False
2020-05-24,20,False
2020-05-31,60,False
2020-06-07,0,False
2020-06-14,20,False
2020-06-21,43,False
2020-06-28,0,False
2020-07-05,46,False
