date,Hochzeitsbilder,isPartial
2018-01-07,12,False
2018-01-14,12,False
2018-01-21,12,False
2018-01-28,12,False
2018-02-04,0,False
2018-02-11,25,False
2018-02-18,0,False
2018-02-25,31,False
2018-03-04,31,False
2018-03-11,31,False
2018-03-18,69,False
2018-03-25,40,False
2018-04-01,20,False
2018-04-08,0,False
2018-04-15,19,False
2018-04-22,25,False
2018-04-29,19,False
2018-05-06,32,False
2018-05-13,37,False
2018-05-20,100,False
2018-05-27,13,False
2018-06-03,19,False
2018-06-10,12,False
2018-06-17,0,False
2018-06-24,18,False
2018-07-01,12,False
2018-07-08,24,False
2018-07-15,18,False
2018-07-22,12,False
2018-07-29,38,False
2018-08-05,26,False
2018-08-12,14,False
2018-08-19,40,False
2018-08-26,27,False
2018-09-02,19,False
2018-09-09,25,False
2018-09-16,37,False
2018-09-23,12,False
2018-09-30,38,False
2018-10-07,25,False
2018-10-14,24,False
2018-10-21,24,False
2018-10-28,18,False
2018-11-04,12,False
2018-11-11,12,False
2018-11-18,0,False
2018-11-25,24,False
2018-12-02,12,False
2018-12-09,12,False
2018-12-16,12,False
2018-12-23,14,False
2018-12-30,0,False
2019-01-06,11,False
2019-01-13,22,False
2019-01-20,33,False
2019-01-27,17,False
2019-02-03,23,False
2019-02-10,23,False
2019-02-17,0,False
2019-02-24,12,False
2019-03-03,12,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,24,False
2019-03-31,25,False
2019-04-07,36,False
2019-04-14,13,False
2019-04-21,0,False
2019-04-28,24,False
2019-05-05,11,False
2019-05-12,12,False
2019-05-19,11,False
2019-05-26,30,False
2019-06-02,24,False
2019-06-09,19,False
2019-06-16,0,False
2019-06-23,18,False
2019-06-30,12,False
2019-07-07,28,False
2019-07-14,24,False
2019-07-21,24,False
2019-07-28,18,False
2019-08-04,37,False
2019-08-11,38,False
2019-08-18,19,False
2019-08-25,13,False
2019-09-01,0,False
2019-09-08,12,False
2019-09-15,18,False
2019-09-22,17,False
2019-09-29,34,False
2019-10-06,28,False
2019-10-13,22,False
2019-10-20,11,False
2019-10-27,0,False
2019-11-03,11,False
2019-11-10,11,False
2019-11-17,11,False
2019-11-24,11,False
2019-12-01,34,False
2019-12-08,11,False
2019-12-15,23,False
2019-12-22,20,False
2019-12-29,18,False
2020-01-05,0,False
2020-01-12,41,False
2020-01-19,11,False
2020-01-26,21,False
2020-02-02,10,False
2020-02-09,30,False
2020-02-16,0,False
2020-02-23,21,False
2020-03-01,10,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,9,False
2020-03-29,9,False
2020-04-05,0,False
2020-04-12,0,True
