date,Hochzeitsbilder,isPartial
2018-01-07,14,False
2018-01-14,20,False
2018-01-21,13,False
2018-01-28,20,False
2018-02-04,14,False
2018-02-11,41,False
2018-02-18,27,False
2018-02-25,13,False
2018-03-04,34,False
2018-03-11,14,False
2018-03-18,20,False
2018-03-25,29,False
2018-04-01,43,False
2018-04-08,54,False
2018-04-15,21,False
2018-04-22,27,False
2018-04-29,21,False
2018-05-06,28,False
2018-05-13,27,False
2018-05-20,100,False
2018-05-27,34,False
2018-06-03,0,False
2018-06-10,13,False
2018-06-17,13,False
2018-06-24,41,False
2018-07-01,20,False
2018-07-08,26,False
2018-07-15,14,False
2018-07-22,14,False
2018-07-29,21,False
2018-08-05,28,False
2018-08-12,50,False
2018-08-19,42,False
2018-08-26,27,False
2018-09-02,20,False
2018-09-09,27,False
2018-09-16,20,False
2018-09-23,21,False
2018-09-30,14,False
2018-10-07,27,False
2018-10-14,35,False
2018-10-21,27,False
2018-10-28,13,False
2018-11-04,13,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,13,False
2018-12-02,26,False
2018-12-09,40,False
2018-12-16,13,False
2018-12-23,23,False
2018-12-30,28,False
2019-01-06,38,False
2019-01-13,25,False
2019-01-20,25,False
2019-01-27,49,False
2019-02-03,25,False
2019-02-10,13,False
2019-02-17,19,False
2019-02-24,26,False
2019-03-03,25,False
2019-03-10,12,False
2019-03-17,13,False
2019-03-24,19,False
2019-03-31,32,False
2019-04-07,26,False
2019-04-14,14,False
2019-04-21,27,False
2019-04-28,19,False
2019-05-05,19,False
2019-05-12,13,False
2019-05-19,13,False
2019-05-26,26,False
2019-06-02,32,False
2019-06-09,20,False
2019-06-16,20,False
2019-06-23,26,False
2019-06-30,45,False
2019-07-07,13,False
2019-07-14,27,False
2019-07-21,15,False
2019-07-28,28,False
2019-08-04,29,False
2019-08-11,41,False
2019-08-18,27,False
2019-08-25,19,False
2019-09-01,13,False
2019-09-08,32,False
2019-09-15,20,False
2019-09-22,38,False
2019-09-29,13,False
2019-10-06,43,False
2019-10-13,13,False
2019-10-20,38,False
2019-10-27,25,False
2019-11-03,12,False
2019-11-10,24,False
2019-11-17,12,False
2019-11-24,23,False
2019-12-01,18,False
2019-12-08,12,False
2019-12-15,24,False
2019-12-22,0,False
2019-12-29,19,False
2020-01-05,0,False
2020-01-12,11,False
2020-01-19,17,False
2020-01-26,11,False
2020-02-02,22,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,11,False
2020-03-01,11,False
2020-03-08,10,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,11,False
2020-04-12,0,True
