date,Hochzeitsbilder,isPartial
2018-01-07,19,False
2018-01-14,16,False
2018-01-21,13,False
2018-01-28,17,False
2018-02-04,15,False
2018-02-11,12,False
2018-02-18,13,False
2018-02-25,8,False
2018-03-04,15,False
2018-03-11,16,False
2018-03-18,27,False
2018-03-25,37,False
2018-04-01,14,False
2018-04-08,24,False
2018-04-15,15,False
2018-04-22,12,False
2018-04-29,23,False
2018-05-06,27,False
2018-05-13,32,False
2018-05-20,100,False
2018-05-27,21,False
2018-06-03,21,False
2018-06-10,16,False
2018-06-17,23,False
2018-06-24,25,False
2018-07-01,19,False
2018-07-08,31,False
2018-07-15,17,False
2018-07-22,19,False
2018-07-29,29,False
2018-08-05,22,False
2018-08-12,15,False
2018-08-19,24,False
2018-08-26,33,False
2018-09-02,23,False
2018-09-09,23,False
2018-09-16,30,False
2018-09-23,19,False
2018-09-30,16,False
2018-10-07,22,False
2018-10-14,15,False
2018-10-21,17,False
2018-10-28,11,False
2018-11-04,8,False
2018-11-11,12,False
2018-11-18,14,False
2018-11-25,8,False
2018-12-02,8,False
2018-12-09,20,False
2018-12-16,4,False
2018-12-23,14,False
2018-12-30,13,False
2019-01-06,15,False
2019-01-13,13,False
2019-01-20,12,False
2019-01-27,9,False
2019-02-03,16,False
2019-02-10,23,False
2019-02-17,19,False
2019-02-24,10,False
2019-03-03,10,False
2019-03-10,17,False
2019-03-17,5,False
2019-03-24,21,False
2019-03-31,16,False
2019-04-07,15,False
2019-04-14,13,False
2019-04-21,11,False
2019-04-28,20,False
2019-05-05,16,False
2019-05-12,18,False
2019-05-19,21,False
2019-05-26,18,False
2019-06-02,22,False
2019-06-09,29,False
2019-06-16,20,False
2019-06-23,20,False
2019-06-30,21,False
2019-07-07,17,False
2019-07-14,27,False
2019-07-21,17,False
2019-07-28,23,False
2019-08-04,26,False
2019-08-11,23,False
2019-08-18,24,False
2019-08-25,21,False
2019-09-01,21,False
2019-09-08,19,False
2019-09-15,12,False
2019-09-22,15,False
2019-09-29,18,False
2019-10-06,22,False
2019-10-13,18,False
2019-10-20,12,False
2019-10-27,19,False
2019-11-03,7,False
2019-11-10,14,False
2019-11-17,8,False
2019-11-24,12,False
2019-12-01,12,False
2019-12-08,6,False
2019-12-15,10,False
2019-12-22,12,False
2019-12-29,10,False
2020-01-05,14,False
2020-01-12,10,False
2020-01-19,7,False
2020-01-26,12,False
2020-02-02,6,False
2020-02-09,11,False
2020-02-16,8,False
2020-02-23,12,False
2020-03-01,10,False
2020-03-08,7,False
2020-03-15,9,False
2020-03-22,10,False
2020-03-29,4,False
2020-04-05,7,False
2020-04-12,43,True
