date,projet jardin,isPartial
2018-01-07,42,False
2018-01-14,28,False
2018-01-21,41,False
2018-01-28,28,False
2018-02-04,28,False
2018-02-11,28,False
2018-02-18,30,False
2018-02-25,29,False
2018-03-04,28,False
2018-03-11,28,False
2018-03-18,0,False
2018-03-25,29,False
2018-04-01,59,False
2018-04-08,28,False
2018-04-15,30,False
2018-04-22,59,False
2018-04-29,39,False
2018-05-06,31,False
2018-05-13,28,False
2018-05-20,57,False
2018-05-27,36,False
2018-06-03,27,False
2018-06-10,40,False
2018-06-17,41,False
2018-06-24,0,False
2018-07-01,41,False
2018-07-08,29,False
2018-07-15,32,False
2018-07-22,32,False
2018-07-29,0,False
2018-08-05,52,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,29,False
2018-09-09,37,False
2018-09-16,55,False
2018-09-23,28,False
2018-09-30,0,False
2018-10-07,27,False
2018-10-14,27,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,27,False
2018-11-11,26,False
2018-11-18,27,False
2018-11-25,0,False
2018-12-02,28,False
2018-12-09,28,False
2018-12-16,57,False
2018-12-23,35,False
2018-12-30,64,False
2019-01-06,37,False
2019-01-13,28,False
2019-01-20,27,False
2019-01-27,27,False
2019-02-03,39,False
2019-02-10,28,False
2019-02-17,28,False
2019-02-24,28,False
2019-03-03,28,False
2019-03-10,42,False
2019-03-17,28,False
2019-03-24,44,False
2019-03-31,38,False
2019-04-07,29,False
2019-04-14,0,False
2019-04-21,48,False
2019-04-28,31,False
2019-05-05,31,False
2019-05-12,30,False
2019-05-19,58,False
2019-05-26,100,False
2019-06-02,40,False
2019-06-09,29,False
2019-06-16,87,False
2019-06-23,59,False
2019-06-30,29,False
2019-07-07,60,False
2019-07-14,0,False
2019-07-21,34,False
2019-07-28,53,False
2019-08-04,37,False
2019-08-11,0,False
2019-08-18,74,False
2019-08-25,43,False
2019-09-01,38,False
2019-09-08,43,False
2019-09-15,56,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,28,False
2019-10-13,28,False
2019-10-20,29,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,28,False
2019-11-17,37,False
2019-11-24,27,False
2019-12-01,27,False
2019-12-08,44,False
2019-12-15,28,False
2019-12-22,0,False
2019-12-29,32,False
2020-01-05,27,False
2020-01-12,0,False
2020-01-19,27,False
2020-01-26,67,False
2020-02-02,40,False
2020-02-09,27,False
2020-02-16,28,False
2020-02-23,26,False
2020-03-01,39,False
2020-03-08,51,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,41,False
2020-04-05,0,False
2020-04-12,28,False
2020-04-19,40,False
2020-04-26,53,False
2020-05-03,42,False
2020-05-10,0,False
2020-05-17,32,True
