date,alquiler limusinas,isPartial
2018-01-07,28,False
2018-01-14,43,False
2018-01-21,14,False
2018-01-28,28,False
2018-02-04,28,False
2018-02-11,29,False
2018-02-18,72,False
2018-02-25,69,False
2018-03-04,41,False
2018-03-11,42,False
2018-03-18,71,False
2018-03-25,32,False
2018-04-01,29,False
2018-04-08,27,False
2018-04-15,57,False
2018-04-22,55,False
2018-04-29,87,False
2018-05-06,41,False
2018-05-13,57,False
2018-05-20,42,False
2018-05-27,42,False
2018-06-03,41,False
2018-06-10,13,False
2018-06-17,44,False
2018-06-24,44,False
2018-07-01,29,False
2018-07-08,72,False
2018-07-15,0,False
2018-07-22,30,False
2018-07-29,45,False
2018-08-05,15,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,42,False
2018-09-09,14,False
2018-09-16,97,False
2018-09-23,55,False
2018-09-30,28,False
2018-10-07,43,False
2018-10-14,0,False
2018-10-21,55,False
2018-10-28,14,False
2018-11-04,67,False
2018-11-11,68,False
2018-11-18,27,False
2018-11-25,54,False
2018-12-02,43,False
2018-12-09,100,False
2018-12-16,28,False
2018-12-23,49,False
2018-12-30,16,False
2019-01-06,43,False
2019-01-13,54,False
2019-01-20,66,False
2019-01-27,65,False
2019-02-03,42,False
2019-02-10,14,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,14,False
2019-03-10,28,False
2019-03-17,71,False
2019-03-24,0,False
2019-03-31,40,False
2019-04-07,41,False
2019-04-14,71,False
2019-04-21,54,False
2019-04-28,69,False
2019-05-05,40,False
2019-05-12,27,False
2019-05-19,94,False
2019-05-26,52,False
2019-06-02,13,False
2019-06-09,26,False
2019-06-16,41,False
2019-06-23,14,False
2019-06-30,14,False
2019-07-07,54,False
2019-07-14,14,False
2019-07-21,57,False
2019-07-28,59,False
2019-08-04,0,False
2019-08-11,30,False
2019-08-18,0,False
2019-08-25,41,False
2019-09-01,13,False
2019-09-08,39,False
2019-09-15,51,False
2019-09-22,63,False
2019-09-29,38,False
2019-10-06,13,False
2019-10-13,25,False
2019-10-20,25,False
2019-10-27,12,False
2019-11-03,0,False
2019-11-10,37,False
2019-11-17,61,False
2019-11-24,0,False
2019-12-01,13,False
2019-12-08,64,False
2019-12-15,0,False
2019-12-22,41,False
2019-12-29,14,False
2020-01-05,25,False
2020-01-12,35,False
2020-01-19,46,False
2020-01-26,47,False
2020-02-02,60,False
2020-02-09,36,False
2020-02-16,36,False
2020-02-23,35,False
2020-03-01,67,False
2020-03-08,22,False
2020-03-15,11,False
2020-03-22,10,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,18,True
