date,productoras cine,isPartial
2018-01-07,43,False
2018-01-14,22,False
2018-01-21,54,False
2018-01-28,22,False
2018-02-04,22,False
2018-02-11,0,False
2018-02-18,55,False
2018-02-25,42,False
2018-03-04,85,False
2018-03-11,63,False
2018-03-18,22,False
2018-03-25,49,False
2018-04-01,44,False
2018-04-08,21,False
2018-04-15,32,False
2018-04-22,64,False
2018-04-29,44,False
2018-05-06,32,False
2018-05-13,22,False
2018-05-20,43,False
2018-05-27,42,False
2018-06-03,21,False
2018-06-10,62,False
2018-06-17,45,False
2018-06-24,44,False
2018-07-01,22,False
2018-07-08,22,False
2018-07-15,68,False
2018-07-22,34,False
2018-07-29,34,False
2018-08-05,23,False
2018-08-12,70,False
2018-08-19,82,False
2018-08-26,0,False
2018-09-02,21,False
2018-09-09,43,False
2018-09-16,32,False
2018-09-23,0,False
2018-09-30,21,False
2018-10-07,33,False
2018-10-14,52,False
2018-10-21,0,False
2018-10-28,66,False
2018-11-04,41,False
2018-11-11,21,False
2018-11-18,41,False
2018-11-25,21,False
2018-12-02,89,False
2018-12-09,44,False
2018-12-16,0,False
2018-12-23,100,False
2018-12-30,24,False
2019-01-06,22,False
2019-01-13,21,False
2019-01-20,59,False
2019-01-27,20,False
2019-02-03,32,False
2019-02-10,42,False
2019-02-17,42,False
2019-02-24,21,False
2019-03-03,21,False
2019-03-10,43,False
2019-03-17,32,False
2019-03-24,43,False
2019-03-31,20,False
2019-04-07,41,False
2019-04-14,22,False
2019-04-21,21,False
2019-04-28,63,False
2019-05-05,62,False
2019-05-12,41,False
2019-05-19,41,False
2019-05-26,20,False
2019-06-02,20,False
2019-06-09,0,False
2019-06-16,42,False
2019-06-23,21,False
2019-06-30,21,False
2019-07-07,73,False
2019-07-14,22,False
2019-07-21,21,False
2019-07-28,22,False
2019-08-04,23,False
2019-08-11,23,False
2019-08-18,66,False
2019-08-25,42,False
2019-09-01,40,False
2019-09-08,59,False
2019-09-15,19,False
2019-09-22,39,False
2019-09-29,20,False
2019-10-06,39,False
2019-10-13,37,False
2019-10-20,0,False
2019-10-27,38,False
2019-11-03,19,False
2019-11-10,56,False
2019-11-17,28,False
2019-11-24,55,False
2019-12-01,19,False
2019-12-08,40,False
2019-12-15,28,False
2019-12-22,0,False
2019-12-29,31,False
2020-01-05,39,False
2020-01-12,35,False
2020-01-19,44,False
2020-01-26,18,False
2020-02-02,36,False
2020-02-09,0,False
2020-02-16,18,False
2020-02-23,0,False
2020-03-01,70,False
2020-03-08,34,False
2020-03-15,33,False
2020-03-22,31,False
2020-03-29,24,False
2020-04-05,25,False
2020-04-12,28,True
