ticket_geo_region_name,ticket_taxonomy_tag_name,year,Rank,Max,Min,Demand_factor_max_to_min
Italia,Personal trainer,2018,1,8,11,2.9
Italia,Imbiancatura o tinteggiatura pareti interne,2018,2,4,11,3.9
Italia,Psicologo,2018,3,8,11,1.7
Italia,Installazione aria condizionata,2018,4,4,11,7.3
Italia,Idraulico,2018,5,10,7,1.9
Italia,Psicologo,2019,1,10,1,2.0
Italia,Personal trainer,2019,2,5,11,2.8
Italia,Installazione aria condizionata,2019,3,5,11,10.0
Italia,Consulente per l'alimentazione/Nutrizionista,2019,4,4,11,2.5
Italia,Organizzatore di feste e party,2019,5,8,3,2.5
Italia,Psicologo,2020,1,0,3,3.0
Italia,Personal trainer,2020,2,0,3,3.0
Italia,Installazione aria condizionata,2020,3,1,2,1.3
Italia,Spedizioni,2020,4,3,1,8.4
Italia,Imbiancatura o tinteggiatura pareti interne,2020,5,1,2,1.6
