date,insert cheminée,isPartial
2018-01-07,46,False
2018-01-14,45,False
2018-01-21,23,False
2018-01-28,63,False
2018-02-04,38,False
2018-02-11,35,False
2018-02-18,47,False
2018-02-25,22,False
2018-03-04,45,False
2018-03-11,23,False
2018-03-18,46,False
2018-03-25,35,False
2018-04-01,32,False
2018-04-08,25,False
2018-04-15,53,False
2018-04-22,24,False
2018-04-29,24,False
2018-05-06,0,False
2018-05-13,24,False
2018-05-20,49,False
2018-05-27,24,False
2018-06-03,48,False
2018-06-10,23,False
2018-06-17,25,False
2018-06-24,0,False
2018-07-01,24,False
2018-07-08,24,False
2018-07-15,26,False
2018-07-22,26,False
2018-07-29,39,False
2018-08-05,0,False
2018-08-12,54,False
2018-08-19,66,False
2018-08-26,50,False
2018-09-02,49,False
2018-09-09,25,False
2018-09-16,25,False
2018-09-23,25,False
2018-09-30,73,False
2018-10-07,57,False
2018-10-14,100,False
2018-10-21,67,False
2018-10-28,74,False
2018-11-04,48,False
2018-11-11,57,False
2018-11-18,59,False
2018-11-25,59,False
2018-12-02,40,False
2018-12-09,48,False
2018-12-16,32,False
2018-12-23,63,False
2018-12-30,50,False
2019-01-06,62,False
2019-01-13,70,False
2019-01-20,60,False
2019-01-27,30,False
2019-02-03,53,False
2019-02-10,23,False
2019-02-17,40,False
2019-02-24,23,False
2019-03-03,22,False
2019-03-10,23,False
2019-03-17,24,False
2019-03-24,23,False
2019-03-31,22,False
2019-04-07,22,False
2019-04-14,0,False
2019-04-21,23,False
2019-04-28,22,False
2019-05-05,54,False
2019-05-12,55,False
2019-05-19,22,False
2019-05-26,0,False
2019-06-02,22,False
2019-06-09,42,False
2019-06-16,45,False
2019-06-23,23,False
2019-06-30,67,False
2019-07-07,22,False
2019-07-14,23,False
2019-07-21,31,False
2019-07-28,35,False
2019-08-04,36,False
2019-08-11,50,False
2019-08-18,60,False
2019-08-25,47,False
2019-09-01,21,False
2019-09-08,65,False
2019-09-15,21,False
2019-09-22,28,False
2019-09-29,51,False
2019-10-06,58,False
2019-10-13,43,False
2019-10-20,75,False
2019-10-27,55,False
2019-11-03,48,False
2019-11-10,68,False
2019-11-17,54,False
2019-11-24,46,False
2019-12-01,60,False
2019-12-08,33,False
2019-12-15,61,False
2019-12-22,29,False
2019-12-29,53,False
2020-01-05,40,False
2020-01-12,26,False
2020-01-19,60,False
2020-01-26,38,False
2020-02-02,29,False
2020-02-09,29,False
2020-02-16,56,False
2020-02-23,43,False
2020-03-01,38,False
2020-03-08,37,False
2020-03-15,53,False
2020-03-22,17,False
2020-03-29,35,False
2020-04-05,18,False
2020-04-12,18,False
2020-04-19,27,False
2020-04-26,50,False
2020-05-03,0,False
2020-05-10,41,False
2020-05-17,22,True
