date,insert cheminée,isPartial
2018-01-07,39,False
2018-01-14,29,False
2018-01-21,49,False
2018-01-28,30,False
2018-02-04,56,False
2018-02-11,44,False
2018-02-18,74,False
2018-02-25,29,False
2018-03-04,0,False
2018-03-11,30,False
2018-03-18,60,False
2018-03-25,30,False
2018-04-01,30,False
2018-04-08,30,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,31,False
2018-05-06,0,False
2018-05-13,30,False
2018-05-20,0,False
2018-05-27,30,False
2018-06-03,59,False
2018-06-10,0,False
2018-06-17,31,False
2018-06-24,0,False
2018-07-01,29,False
2018-07-08,31,False
2018-07-15,0,False
2018-07-22,66,False
2018-07-29,0,False
2018-08-05,34,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,94,False
2018-09-02,32,False
2018-09-09,31,False
2018-09-16,31,False
2018-09-23,62,False
2018-09-30,62,False
2018-10-07,46,False
2018-10-14,52,False
2018-10-21,32,False
2018-10-28,76,False
2018-11-04,74,False
2018-11-11,0,False
2018-11-18,59,False
2018-11-25,0,False
2018-12-02,59,False
2018-12-09,51,False
2018-12-16,62,False
2018-12-23,97,False
2018-12-30,32,False
2019-01-06,30,False
2019-01-13,30,False
2019-01-20,47,False
2019-01-27,43,False
2019-02-03,0,False
2019-02-10,32,False
2019-02-17,32,False
2019-02-24,89,False
2019-03-03,29,False
2019-03-10,0,False
2019-03-17,47,False
2019-03-24,31,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,43,False
2019-05-05,29,False
2019-05-12,0,False
2019-05-19,30,False
2019-05-26,30,False
2019-06-02,28,False
2019-06-09,29,False
2019-06-16,0,False
2019-06-23,29,False
2019-06-30,29,False
2019-07-07,59,False
2019-07-14,32,False
2019-07-21,62,False
2019-07-28,0,False
2019-08-04,33,False
2019-08-11,32,False
2019-08-18,32,False
2019-08-25,44,False
2019-09-01,29,False
2019-09-08,58,False
2019-09-15,57,False
2019-09-22,27,False
2019-09-29,64,False
2019-10-06,28,False
2019-10-13,64,False
2019-10-20,28,False
2019-10-27,26,False
2019-11-03,62,False
2019-11-10,44,False
2019-11-17,27,False
2019-11-24,26,False
2019-12-01,79,False
2019-12-08,26,False
2019-12-15,26,False
2019-12-22,28,False
2019-12-29,27,False
2020-01-05,42,False
2020-01-12,100,False
2020-01-19,26,False
2020-01-26,25,False
2020-02-02,38,False
2020-02-09,25,False
2020-02-16,26,False
2020-02-23,25,False
2020-03-01,48,False
2020-03-08,24,False
2020-03-15,0,False
2020-03-22,20,False
2020-03-29,20,False
2020-04-05,0,False
2020-04-12,21,False
2020-04-19,31,False
2020-04-26,32,False
2020-05-03,20,False
2020-05-10,64,False
2020-05-17,0,True
