date,Insektenschutzgitter,isPartial
2018-01-07,28,False
2018-01-14,0,False
2018-01-21,14,False
2018-01-28,28,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,14,False
2018-03-04,14,False
2018-03-11,14,False
2018-03-18,21,False
2018-03-25,0,False
2018-04-01,54,False
2018-04-08,23,False
2018-04-15,38,False
2018-04-22,30,False
2018-04-29,54,False
2018-05-06,53,False
2018-05-13,44,False
2018-05-20,53,False
2018-05-27,53,False
2018-06-03,80,False
2018-06-10,98,False
2018-06-17,57,False
2018-06-24,0,False
2018-07-01,22,False
2018-07-08,51,False
2018-07-15,23,False
2018-07-22,53,False
2018-07-29,62,False
2018-08-05,45,False
2018-08-12,39,False
2018-08-19,37,False
2018-08-26,29,False
2018-09-02,29,False
2018-09-09,15,False
2018-09-16,44,False
2018-09-23,15,False
2018-09-30,0,False
2018-10-07,59,False
2018-10-14,29,False
2018-10-21,0,False
2018-10-28,15,False
2018-11-04,28,False
2018-11-11,0,False
2018-11-18,14,False
2018-11-25,14,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,33,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,27,False
2019-02-03,14,False
2019-02-10,0,False
2019-02-17,47,False
2019-02-24,20,False
2019-03-03,40,False
2019-03-10,13,False
2019-03-17,14,False
2019-03-24,41,False
2019-03-31,42,False
2019-04-07,14,False
2019-04-14,15,False
2019-04-21,37,False
2019-04-28,14,False
2019-05-05,40,False
2019-05-12,27,False
2019-05-19,14,False
2019-05-26,13,False
2019-06-02,98,False
2019-06-09,100,False
2019-06-16,91,False
2019-06-23,100,False
2019-06-30,49,False
2019-07-07,41,False
2019-07-14,37,False
2019-07-21,67,False
2019-07-28,22,False
2019-08-04,74,False
2019-08-11,14,False
2019-08-18,14,False
2019-08-25,41,False
2019-09-01,20,False
2019-09-08,14,False
2019-09-15,27,False
2019-09-22,13,False
2019-09-29,13,False
2019-10-06,13,False
2019-10-13,0,False
2019-10-20,13,False
2019-10-27,26,False
2019-11-03,19,False
2019-11-10,13,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,13,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,15,False
2019-12-29,0,False
2020-01-05,12,False
2020-01-12,0,False
2020-01-19,12,False
2020-01-26,12,False
2020-02-02,35,False
2020-02-09,24,False
2020-02-16,24,False
2020-02-23,22,False
2020-03-01,35,False
2020-03-08,55,False
2020-03-15,22,False
2020-03-22,32,False
2020-03-29,22,False
2020-04-05,37,False
2020-04-12,88,False
2020-04-19,23,False
2020-04-26,74,False
2020-05-03,29,False
2020-05-10,69,False
2020-05-17,74,False
2020-05-24,46,False
2020-05-31,18,False
2020-06-07,47,False
2020-06-14,51,False
2020-06-21,47,False
2020-06-28,35,False
2020-07-05,62,False
