date,Teppich verlegen,isPartial
2018-01-07,52,False
2018-01-14,40,False
2018-01-21,58,False
2018-01-28,39,False
2018-02-04,41,False
2018-02-11,40,False
2018-02-18,39,False
2018-02-25,40,False
2018-03-04,58,False
2018-03-11,38,False
2018-03-18,58,False
2018-03-25,0,False
2018-04-01,44,False
2018-04-08,41,False
2018-04-15,0,False
2018-04-22,41,False
2018-04-29,41,False
2018-05-06,43,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,100,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,41,False
2018-07-08,42,False
2018-07-15,45,False
2018-07-22,47,False
2018-07-29,95,False
2018-08-05,45,False
2018-08-12,0,False
2018-08-19,64,False
2018-08-26,41,False
2018-09-02,0,False
2018-09-09,41,False
2018-09-16,41,False
2018-09-23,41,False
2018-09-30,31,False
2018-10-07,0,False
2018-10-14,41,False
2018-10-21,0,False
2018-10-28,81,False
2018-11-04,38,False
2018-11-11,40,False
2018-11-18,39,False
2018-11-25,0,False
2018-12-02,39,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,54,False
2018-12-30,0,False
2019-01-06,38,False
2019-01-13,33,False
2019-01-20,59,False
2019-01-27,31,False
2019-02-03,39,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,57,False
2019-03-03,32,False
2019-03-10,39,False
2019-03-17,0,False
2019-03-24,39,False
2019-03-31,0,False
2019-04-07,31,False
2019-04-14,44,False
2019-04-21,0,False
2019-04-28,32,False
2019-05-05,39,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,41,False
2019-06-02,34,False
2019-06-09,40,False
2019-06-16,0,False
2019-06-23,62,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,41,False
2019-07-21,42,False
2019-07-28,40,False
2019-08-04,0,False
2019-08-11,39,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,36,False
2019-09-08,0,False
2019-09-15,38,False
2019-09-22,38,False
2019-09-29,52,False
2019-10-06,38,False
2019-10-13,38,False
2019-10-20,38,False
2019-10-27,37,False
2019-11-03,0,False
2019-11-10,37,False
2019-11-17,0,False
2019-11-24,54,False
2019-12-01,0,False
2019-12-08,37,False
2019-12-15,39,False
2019-12-22,0,False
2019-12-29,40,False
2020-01-05,0,False
2020-01-12,35,False
2020-01-19,0,False
2020-01-26,72,False
2020-02-02,37,False
2020-02-09,64,False
2020-02-16,36,False
2020-02-23,34,False
2020-03-01,33,False
2020-03-08,62,False
2020-03-15,34,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,35,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,33,False
2020-05-03,0,False
2020-05-10,0,False
