date,bouquet mariée,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,32,False
2018-02-04,30,False
2018-02-11,31,False
2018-02-18,31,False
2018-02-25,32,False
2018-03-04,33,False
2018-03-11,32,False
2018-03-18,64,False
2018-03-25,32,False
2018-04-01,33,False
2018-04-08,32,False
2018-04-15,34,False
2018-04-22,32,False
2018-04-29,34,False
2018-05-06,0,False
2018-05-13,32,False
2018-05-20,0,False
2018-05-27,32,False
2018-06-03,0,False
2018-06-10,30,False
2018-06-17,66,False
2018-06-24,33,False
2018-07-01,31,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,53,False
2018-07-29,0,False
2018-08-05,73,False
2018-08-12,38,False
2018-08-19,73,False
2018-08-26,67,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,33,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,50,False
2018-10-21,34,False
2018-10-28,0,False
2018-11-04,31,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,64,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,32,False
2019-02-10,33,False
2019-02-17,34,False
2019-02-24,96,False
2019-03-03,31,False
2019-03-10,32,False
2019-03-17,100,False
2019-03-24,66,False
2019-03-31,33,False
2019-04-07,35,False
2019-04-14,35,False
2019-04-21,63,False
2019-04-28,0,False
2019-05-05,60,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,30,False
2019-06-09,0,False
2019-06-16,64,False
2019-06-23,63,False
2019-06-30,31,False
2019-07-07,32,False
2019-07-14,0,False
2019-07-21,34,False
2019-07-28,0,False
2019-08-04,35,False
2019-08-11,35,False
2019-08-18,34,False
2019-08-25,0,False
2019-09-01,62,False
2019-09-08,63,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,59,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,58,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,29,False
2020-01-05,0,False
2020-01-12,27,False
2020-01-19,28,False
2020-01-26,27,False
2020-02-02,27,False
2020-02-09,27,False
2020-02-16,42,False
2020-02-23,41,False
2020-03-01,0,False
2020-03-08,26,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,53,True
