date,Notdienst Heizung,isPartial
2018-01-07,29,False
2018-01-14,28,False
2018-01-21,0,False
2018-01-28,29,False
2018-02-04,29,False
2018-02-11,44,False
2018-02-18,29,False
2018-02-25,48,False
2018-03-04,100,False
2018-03-11,29,False
2018-03-18,29,False
2018-03-25,40,False
2018-04-01,30,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,28,False
2018-04-29,0,False
2018-05-06,30,False
2018-05-13,29,False
2018-05-20,30,False
2018-05-27,0,False
2018-06-03,29,False
2018-06-10,28,False
2018-06-17,0,False
2018-06-24,29,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,27,False
2018-08-12,0,False
2018-08-19,27,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,28,False
2018-09-16,28,False
2018-09-23,29,False
2018-09-30,45,False
2018-10-07,30,False
2018-10-14,0,False
2018-10-21,37,False
2018-10-28,37,False
2018-11-04,27,False
2018-11-11,71,False
2018-11-18,27,False
2018-11-25,28,False
2018-12-02,41,False
2018-12-09,0,False
2018-12-16,43,False
2018-12-23,32,False
2018-12-30,29,False
2019-01-06,35,False
2019-01-13,26,False
2019-01-20,26,False
2019-01-27,36,False
2019-02-03,45,False
2019-02-10,55,False
2019-02-17,55,False
2019-02-24,28,False
2019-03-03,27,False
2019-03-10,40,False
2019-03-17,27,False
2019-03-24,28,False
2019-03-31,28,False
2019-04-07,39,False
2019-04-14,0,False
2019-04-21,28,False
2019-04-28,27,False
2019-05-05,27,False
2019-05-12,28,False
2019-05-19,27,False
2019-05-26,28,False
2019-06-02,27,False
2019-06-09,0,False
2019-06-16,27,False
2019-06-23,0,False
2019-06-30,27,False
2019-07-07,28,False
2019-07-14,58,False
2019-07-21,0,False
2019-07-28,28,False
2019-08-04,28,False
2019-08-11,26,False
2019-08-18,0,False
2019-08-25,26,False
2019-09-01,0,False
2019-09-08,26,False
2019-09-15,53,False
2019-09-22,0,False
2019-09-29,53,False
2019-10-06,53,False
2019-10-13,52,False
2019-10-20,26,False
2019-10-27,38,False
2019-11-03,25,False
2019-11-10,58,False
2019-11-17,50,False
2019-11-24,24,False
2019-12-01,33,False
2019-12-08,62,False
2019-12-15,26,False
2019-12-22,74,False
2019-12-29,43,False
2020-01-05,47,False
2020-01-12,0,False
2020-01-19,60,False
2020-01-26,24,False
2020-02-02,24,False
2020-02-09,0,False
2020-02-16,24,False
2020-02-23,32,False
2020-03-01,0,False
2020-03-08,33,False
2020-03-15,33,False
2020-03-22,22,False
2020-03-29,22,False
2020-04-05,60,False
2020-04-12,23,False
2020-04-19,22,False
2020-04-26,21,False
2020-05-03,22,False
2020-05-10,0,False
