date,Abrissfirma,isPartial
2018-01-07,20,False
2018-01-14,20,False
2018-01-21,30,False
2018-01-28,39,False
2018-02-04,20,False
2018-02-11,30,False
2018-02-18,30,False
2018-02-25,100,False
2018-03-04,60,False
2018-03-11,20,False
2018-03-18,20,False
2018-03-25,43,False
2018-04-01,22,False
2018-04-08,41,False
2018-04-15,35,False
2018-04-22,34,False
2018-04-29,42,False
2018-05-06,0,False
2018-05-13,20,False
2018-05-20,43,False
2018-05-27,21,False
2018-06-03,27,False
2018-06-10,20,False
2018-06-17,40,False
2018-06-24,31,False
2018-07-01,20,False
2018-07-08,20,False
2018-07-15,21,False
2018-07-22,42,False
2018-07-29,28,False
2018-08-05,41,False
2018-08-12,42,False
2018-08-19,31,False
2018-08-26,31,False
2018-09-02,20,False
2018-09-09,20,False
2018-09-16,30,False
2018-09-23,41,False
2018-09-30,0,False
2018-10-07,40,False
2018-10-14,20,False
2018-10-21,20,False
2018-10-28,0,False
2018-11-04,19,False
2018-11-11,20,False
2018-11-18,29,False
2018-11-25,40,False
2018-12-02,19,False
2018-12-09,39,False
2018-12-16,20,False
2018-12-23,47,False
2018-12-30,21,False
2019-01-06,19,False
2019-01-13,18,False
2019-01-20,37,False
2019-01-27,37,False
2019-02-03,28,False
2019-02-10,19,False
2019-02-17,19,False
2019-02-24,45,False
2019-03-03,37,False
2019-03-10,75,False
2019-03-17,49,False
2019-03-24,0,False
2019-03-31,19,False
2019-04-07,47,False
2019-04-14,35,False
2019-04-21,34,False
2019-04-28,57,False
2019-05-05,37,False
2019-05-12,19,False
2019-05-19,38,False
2019-05-26,20,False
2019-06-02,32,False
2019-06-09,20,False
2019-06-16,39,False
2019-06-23,19,False
2019-06-30,19,False
2019-07-07,38,False
2019-07-14,26,False
2019-07-21,0,False
2019-07-28,20,False
2019-08-04,20,False
2019-08-11,19,False
2019-08-18,39,False
2019-08-25,39,False
2019-09-01,19,False
2019-09-08,19,False
2019-09-15,29,False
2019-09-22,19,False
2019-09-29,37,False
2019-10-06,0,False
2019-10-13,28,False
2019-10-20,55,False
2019-10-27,0,False
2019-11-03,17,False
2019-11-10,18,False
2019-11-17,27,False
2019-11-24,0,False
2019-12-01,27,False
2019-12-08,18,False
2019-12-15,0,False
2019-12-22,21,False
2019-12-29,38,False
2020-01-05,34,False
2020-01-12,25,False
2020-01-19,17,False
2020-01-26,17,False
2020-02-02,34,False
2020-02-09,22,False
2020-02-16,43,False
2020-02-23,33,False
2020-03-01,17,False
2020-03-08,31,False
2020-03-15,15,False
2020-03-22,15,False
2020-03-29,15,False
2020-04-05,0,False
2020-04-12,24,False
2020-04-19,36,False
2020-04-26,30,False
2020-05-03,23,False
2020-05-10,16,False
