date,Innenjalousien,isPartial
2018-01-07,0,False
2018-01-14,31,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,32,False
2018-02-18,31,False
2018-02-25,95,False
2018-03-04,0,False
2018-03-11,63,False
2018-03-18,0,False
2018-03-25,68,False
2018-04-01,0,False
2018-04-08,68,False
2018-04-15,0,False
2018-04-22,34,False
2018-04-29,35,False
2018-05-06,35,False
2018-05-13,33,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,32,False
2018-06-17,0,False
2018-06-24,32,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,68,False
2018-07-22,0,False
2018-07-29,35,False
2018-08-05,0,False
2018-08-12,36,False
2018-08-19,34,False
2018-08-26,33,False
2018-09-02,33,False
2018-09-09,100,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,33,False
2018-10-07,67,False
2018-10-14,33,False
2018-10-21,34,False
2018-10-28,0,False
2018-11-04,32,False
2018-11-11,33,False
2018-11-18,31,False
2018-11-25,0,False
2018-12-02,64,False
2018-12-09,32,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,30,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,31,False
2019-02-10,30,False
2019-02-17,0,False
2019-02-24,30,False
2019-03-03,0,False
2019-03-10,30,False
2019-03-17,94,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,31,False
2019-04-14,68,False
2019-04-21,33,False
2019-04-28,31,False
2019-05-05,30,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,32,False
2019-06-09,32,False
2019-06-16,0,False
2019-06-23,65,False
2019-06-30,0,False
2019-07-07,31,False
2019-07-14,0,False
2019-07-21,67,False
2019-07-28,0,False
2019-08-04,50,False
2019-08-11,0,False
2019-08-18,31,False
2019-08-25,47,False
2019-09-01,30,False
2019-09-08,0,False
2019-09-15,92,False
2019-09-22,46,False
2019-09-29,29,False
2019-10-06,0,False
2019-10-13,30,False
2019-10-20,30,False
2019-10-27,30,False
2019-11-03,0,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,0,False
2019-12-01,58,False
2019-12-08,29,False
2019-12-15,0,False
2019-12-22,33,False
2019-12-29,30,False
2020-01-05,28,False
2020-01-12,52,False
2020-01-19,41,False
2020-01-26,0,False
2020-02-02,53,False
2020-02-09,27,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,26,False
2020-03-08,25,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,25,False
2020-04-05,28,False
2020-04-12,27,False
2020-04-19,39,False
2020-04-26,52,False
2020-05-03,53,False
2020-05-10,39,False
2020-05-17,28,False
2020-05-24,52,False
2020-05-31,27,False
2020-06-07,27,False
2020-06-14,26,False
2020-06-21,80,False
2020-06-28,54,False
2020-07-05,42,False
