date,Schornstein Bausatz,isPartial
2018-01-07,56,False
2018-01-14,28,False
2018-01-21,0,False
2018-01-28,83,False
2018-02-04,0,False
2018-02-11,29,False
2018-02-18,86,False
2018-02-25,28,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,28,False
2018-03-25,30,False
2018-04-01,61,False
2018-04-08,29,False
2018-04-15,30,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,30,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,29,False
2018-06-03,0,False
2018-06-10,28,False
2018-06-17,28,False
2018-06-24,0,False
2018-07-01,57,False
2018-07-08,0,False
2018-07-15,44,False
2018-07-22,59,False
2018-07-29,29,False
2018-08-05,87,False
2018-08-12,0,False
2018-08-19,29,False
2018-08-26,44,False
2018-09-02,29,False
2018-09-09,43,False
2018-09-16,29,False
2018-09-23,86,False
2018-09-30,57,False
2018-10-07,43,False
2018-10-14,43,False
2018-10-21,42,False
2018-10-28,28,False
2018-11-04,82,False
2018-11-11,28,False
2018-11-18,27,False
2018-11-25,55,False
2018-12-02,0,False
2018-12-09,55,False
2018-12-16,28,False
2018-12-23,33,False
2018-12-30,29,False
2019-01-06,40,False
2019-01-13,26,False
2019-01-20,51,False
2019-01-27,26,False
2019-02-03,40,False
2019-02-10,40,False
2019-02-17,81,False
2019-02-24,28,False
2019-03-03,53,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,27,False
2019-04-07,0,False
2019-04-14,29,False
2019-04-21,0,False
2019-04-28,27,False
2019-05-05,26,False
2019-05-12,82,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,54,False
2019-06-09,41,False
2019-06-16,0,False
2019-06-23,55,False
2019-06-30,0,False
2019-07-07,27,False
2019-07-14,0,False
2019-07-21,30,False
2019-07-28,0,False
2019-08-04,43,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,27,False
2019-09-15,27,False
2019-09-22,26,False
2019-09-29,26,False
2019-10-06,26,False
2019-10-13,26,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,25,False
2019-11-10,38,False
2019-11-17,100,False
2019-11-24,49,False
2019-12-01,25,False
2019-12-08,50,False
2019-12-15,0,False
2019-12-22,30,False
2019-12-29,27,False
2020-01-05,24,False
2020-01-12,70,False
2020-01-19,24,False
2020-01-26,24,False
2020-02-02,48,False
2020-02-09,0,False
2020-02-16,24,False
2020-02-23,23,False
2020-03-01,23,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,22,False
2020-04-19,33,False
2020-04-26,43,False
2020-05-03,22,False
2020-05-10,22,False
