date,Gärtner,isPartial
2018-01-07,54,False
2018-01-14,27,False
2018-01-21,27,False
2018-01-28,34,False
2018-02-04,22,False
2018-02-11,0,False
2018-02-18,26,False
2018-02-25,39,False
2018-03-04,40,False
2018-03-11,26,False
2018-03-18,33,False
2018-03-25,34,False
2018-04-01,35,False
2018-04-08,63,False
2018-04-15,42,False
2018-04-22,34,False
2018-04-29,28,False
2018-05-06,35,False
2018-05-13,33,False
2018-05-20,41,False
2018-05-27,35,False
2018-06-03,67,False
2018-06-10,38,False
2018-06-17,27,False
2018-06-24,33,False
2018-07-01,47,False
2018-07-08,27,False
2018-07-15,41,False
2018-07-22,21,False
2018-07-29,28,False
2018-08-05,20,False
2018-08-12,41,False
2018-08-19,39,False
2018-08-26,51,False
2018-09-02,32,False
2018-09-09,26,False
2018-09-16,26,False
2018-09-23,39,False
2018-09-30,26,False
2018-10-07,26,False
2018-10-14,0,False
2018-10-21,20,False
2018-10-28,13,False
2018-11-04,37,False
2018-11-11,38,False
2018-11-18,49,False
2018-11-25,19,False
2018-12-02,13,False
2018-12-09,25,False
2018-12-16,13,False
2018-12-23,14,False
2018-12-30,13,False
2019-01-06,11,False
2019-01-13,23,False
2019-01-20,24,False
2019-01-27,18,False
2019-02-03,13,False
2019-02-10,23,False
2019-02-17,30,False
2019-02-24,24,False
2019-03-03,12,False
2019-03-10,47,False
2019-03-17,43,False
2019-03-24,42,False
2019-03-31,25,False
2019-04-07,49,False
2019-04-14,100,False
2019-04-21,38,False
2019-04-28,47,False
2019-05-05,40,False
2019-05-12,23,False
2019-05-19,35,False
2019-05-26,35,False
2019-06-02,30,False
2019-06-09,31,False
2019-06-16,18,False
2019-06-23,24,False
2019-06-30,19,False
2019-07-07,24,False
2019-07-14,31,False
2019-07-21,13,False
2019-07-28,12,False
2019-08-04,13,False
2019-08-11,12,False
2019-08-18,29,False
2019-08-25,11,False
2019-09-01,22,False
2019-09-08,12,False
2019-09-15,35,False
2019-09-22,23,False
2019-09-29,17,False
2019-10-06,23,False
2019-10-13,23,False
2019-10-20,0,False
2019-10-27,17,False
2019-11-03,16,False
2019-11-10,0,False
2019-11-17,27,False
2019-11-24,16,False
2019-12-01,28,False
2019-12-08,17,False
2019-12-15,17,False
2019-12-22,12,False
2019-12-29,11,False
2020-01-05,10,False
2020-01-12,30,False
2020-01-19,21,False
2020-01-26,26,False
2020-02-02,22,False
2020-02-09,10,False
2020-02-16,26,False
2020-02-23,20,False
2020-03-01,20,False
2020-03-08,24,False
2020-03-15,18,False
2020-03-22,43,False
2020-03-29,61,False
2020-04-05,38,False
2020-04-12,28,False
2020-04-19,73,False
2020-04-26,54,False
2020-05-03,37,False
2020-05-10,32,False
2020-05-17,25,False
2020-05-24,18,False
2020-05-31,19,False
2020-06-07,24,False
2020-06-14,19,False
2020-06-21,30,False
2020-06-28,15,False
2020-07-05,32,False
