date,Gärtner,isPartial
2018-01-07,20,False
2018-01-14,30,False
2018-01-21,20,False
2018-01-28,0,False
2018-02-04,61,False
2018-02-11,60,False
2018-02-18,83,False
2018-02-25,61,False
2018-03-04,61,False
2018-03-11,0,False
2018-03-18,61,False
2018-03-25,63,False
2018-04-01,33,False
2018-04-08,95,False
2018-04-15,43,False
2018-04-22,42,False
2018-04-29,21,False
2018-05-06,32,False
2018-05-13,50,False
2018-05-20,21,False
2018-05-27,64,False
2018-06-03,21,False
2018-06-10,77,False
2018-06-17,30,False
2018-06-24,40,False
2018-07-01,60,False
2018-07-08,100,False
2018-07-15,32,False
2018-07-22,31,False
2018-07-29,22,False
2018-08-05,31,False
2018-08-12,22,False
2018-08-19,52,False
2018-08-26,31,False
2018-09-02,20,False
2018-09-09,62,False
2018-09-16,51,False
2018-09-23,20,False
2018-09-30,31,False
2018-10-07,21,False
2018-10-14,31,False
2018-10-21,52,False
2018-10-28,52,False
2018-11-04,0,False
2018-11-11,30,False
2018-11-18,19,False
2018-11-25,39,False
2018-12-02,40,False
2018-12-09,0,False
2018-12-16,31,False
2018-12-23,70,False
2018-12-30,61,False
2019-01-06,27,False
2019-01-13,18,False
2019-01-20,18,False
2019-01-27,47,False
2019-02-03,0,False
2019-02-10,37,False
2019-02-17,48,False
2019-02-24,56,False
2019-03-03,47,False
2019-03-10,54,False
2019-03-17,58,False
2019-03-24,48,False
2019-03-31,49,False
2019-04-07,57,False
2019-04-14,93,False
2019-04-21,40,False
2019-04-28,28,False
2019-05-05,27,False
2019-05-12,36,False
2019-05-19,47,False
2019-05-26,75,False
2019-06-02,39,False
2019-06-09,80,False
2019-06-16,79,False
2019-06-23,40,False
2019-06-30,20,False
2019-07-07,38,False
2019-07-14,41,False
2019-07-21,21,False
2019-07-28,0,False
2019-08-04,42,False
2019-08-11,30,False
2019-08-18,19,False
2019-08-25,19,False
2019-09-01,19,False
2019-09-08,48,False
2019-09-15,20,False
2019-09-22,29,False
2019-09-29,47,False
2019-10-06,19,False
2019-10-13,48,False
2019-10-20,20,False
2019-10-27,28,False
2019-11-03,36,False
2019-11-10,28,False
2019-11-17,37,False
2019-11-24,37,False
2019-12-01,19,False
2019-12-08,47,False
2019-12-15,29,False
2019-12-22,21,False
2019-12-29,20,False
2020-01-05,71,False
2020-01-12,60,False
2020-01-19,35,False
2020-01-26,34,False
2020-02-02,34,False
2020-02-09,69,False
2020-02-16,56,False
2020-02-23,17,False
2020-03-01,43,False
2020-03-08,16,False
2020-03-15,69,False
2020-03-22,35,False
2020-03-29,50,False
2020-04-05,50,False
2020-04-12,47,False
2020-04-19,45,False
2020-04-26,23,False
2020-05-03,64,False
2020-05-10,47,False
2020-05-17,52,False
2020-05-24,39,False
2020-05-31,16,False
2020-06-07,42,False
2020-06-14,47,False
2020-06-21,34,False
2020-06-28,33,False
2020-07-05,44,False
