date,empresas mudanzas,isPartial
2018-01-07,0,False
2018-01-14,32,False
2018-01-21,21,False
2018-01-28,21,False
2018-02-04,52,False
2018-02-11,21,False
2018-02-18,32,False
2018-02-25,35,False
2018-03-04,21,False
2018-03-11,31,False
2018-03-18,43,False
2018-03-25,42,False
2018-04-01,28,False
2018-04-08,27,False
2018-04-15,41,False
2018-04-22,21,False
2018-04-29,24,False
2018-05-06,35,False
2018-05-13,44,False
2018-05-20,31,False
2018-05-27,20,False
2018-06-03,41,False
2018-06-10,31,False
2018-06-17,37,False
2018-06-24,22,False
2018-07-01,31,False
2018-07-08,47,False
2018-07-15,25,False
2018-07-22,39,False
2018-07-29,27,False
2018-08-05,58,False
2018-08-12,0,False
2018-08-19,29,False
2018-08-26,100,False
2018-09-02,44,False
2018-09-09,43,False
2018-09-16,31,False
2018-09-23,30,False
2018-09-30,47,False
2018-10-07,50,False
2018-10-14,20,False
2018-10-21,20,False
2018-10-28,65,False
2018-11-04,18,False
2018-11-11,0,False
2018-11-18,25,False
2018-11-25,18,False
2018-12-02,0,False
2018-12-09,21,False
2018-12-16,21,False
2018-12-23,38,False
2018-12-30,22,False
2019-01-06,21,False
2019-01-13,40,False
2019-01-20,19,False
2019-01-27,35,False
2019-02-03,30,False
2019-02-10,40,False
2019-02-17,40,False
2019-02-24,53,False
2019-03-03,27,False
2019-03-10,31,False
2019-03-17,31,False
2019-03-24,52,False
2019-03-31,20,False
2019-04-07,24,False
2019-04-14,38,False
2019-04-21,60,False
2019-04-28,21,False
2019-05-05,36,False
2019-05-12,50,False
2019-05-19,33,False
2019-05-26,32,False
2019-06-02,44,False
2019-06-09,37,False
2019-06-16,27,False
2019-06-23,35,False
2019-06-30,22,False
2019-07-07,20,False
2019-07-14,23,False
2019-07-21,23,False
2019-07-28,39,False
2019-08-04,0,False
2019-08-11,90,False
2019-08-18,42,False
2019-08-25,48,False
2019-09-01,58,False
2019-09-08,19,False
2019-09-15,56,False
2019-09-22,19,False
2019-09-29,31,False
2019-10-06,19,False
2019-10-13,18,False
2019-10-20,27,False
2019-10-27,19,False
2019-11-03,18,False
2019-11-10,35,False
2019-11-17,18,False
2019-11-24,51,False
2019-12-01,19,False
2019-12-08,19,False
2019-12-15,18,False
2019-12-22,30,False
2019-12-29,44,False
2020-01-05,0,False
2020-01-12,17,False
2020-01-19,17,False
2020-01-26,0,False
2020-02-02,35,False
2020-02-09,17,False
2020-02-16,18,False
2020-02-23,17,False
2020-03-01,45,False
2020-03-08,0,False
2020-03-15,34,False
2020-03-22,25,False
2020-03-29,50,False
2020-04-05,18,False
2020-04-12,41,False
2020-04-19,33,False
2020-04-26,49,False
2020-05-03,24,False
2020-05-10,16,False
2020-05-17,28,True
