date,sommelier,isPartial
2018-01-07,58,False
2018-01-14,34,False
2018-01-21,23,False
2018-01-28,0,False
2018-02-04,33,False
2018-02-11,0,False
2018-02-18,22,False
2018-02-25,21,False
2018-03-04,33,False
2018-03-11,33,False
2018-03-18,11,False
2018-03-25,0,False
2018-04-01,24,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,24,False
2018-04-29,11,False
2018-05-06,0,False
2018-05-13,23,False
2018-05-20,11,False
2018-05-27,34,False
2018-06-03,11,False
2018-06-10,22,False
2018-06-17,11,False
2018-06-24,0,False
2018-07-01,11,False
2018-07-08,0,False
2018-07-15,11,False
2018-07-22,35,False
2018-07-29,36,False
2018-08-05,0,False
2018-08-12,14,False
2018-08-19,50,False
2018-08-26,34,False
2018-09-02,33,False
2018-09-09,22,False
2018-09-16,33,False
2018-09-23,22,False
2018-09-30,34,False
2018-10-07,34,False
2018-10-14,23,False
2018-10-21,23,False
2018-10-28,45,False
2018-11-04,53,False
2018-11-11,56,False
2018-11-18,32,False
2018-11-25,33,False
2018-12-02,23,False
2018-12-09,0,False
2018-12-16,12,False
2018-12-23,14,False
2018-12-30,27,False
2019-01-06,35,False
2019-01-13,66,False
2019-01-20,22,False
2019-01-27,0,False
2019-02-03,22,False
2019-02-10,11,False
2019-02-17,0,False
2019-02-24,45,False
2019-03-03,35,False
2019-03-10,11,False
2019-03-17,78,False
2019-03-24,34,False
2019-03-31,23,False
2019-04-07,22,False
2019-04-14,12,False
2019-04-21,26,False
2019-04-28,12,False
2019-05-05,0,False
2019-05-12,21,False
2019-05-19,11,False
2019-05-26,0,False
2019-06-02,23,False
2019-06-09,45,False
2019-06-16,11,False
2019-06-23,0,False
2019-06-30,11,False
2019-07-07,11,False
2019-07-14,0,False
2019-07-21,34,False
2019-07-28,23,False
2019-08-04,12,False
2019-08-11,13,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,41,False
2019-09-15,30,False
2019-09-22,30,False
2019-09-29,31,False
2019-10-06,42,False
2019-10-13,11,False
2019-10-20,20,False
2019-10-27,21,False
2019-11-03,10,False
2019-11-10,20,False
2019-11-17,20,False
2019-11-24,10,False
2019-12-01,41,False
2019-12-08,42,False
2019-12-15,32,False
2019-12-22,13,False
2019-12-29,35,False
2020-01-05,10,False
2020-01-12,38,False
2020-01-19,19,False
2020-01-26,28,False
2020-02-02,28,False
2020-02-09,39,False
2020-02-16,0,False
2020-02-23,9,False
2020-03-01,9,False
2020-03-08,0,False
2020-03-15,18,False
2020-03-22,16,False
2020-03-29,100,False
2020-04-05,17,False
2020-04-12,18,False
2020-04-19,17,False
2020-04-26,15,True
