date,Rohrverstopfung,isPartial
2018-01-07,23,False
2018-01-14,14,False
2018-01-21,14,False
2018-01-28,21,False
2018-02-04,21,False
2018-02-11,14,False
2018-02-18,14,False
2018-02-25,14,False
2018-03-04,14,False
2018-03-11,28,False
2018-03-18,14,False
2018-03-25,29,False
2018-04-01,0,False
2018-04-08,14,False
2018-04-15,14,False
2018-04-22,14,False
2018-04-29,14,False
2018-05-06,14,False
2018-05-13,14,False
2018-05-20,19,False
2018-05-27,14,False
2018-06-03,0,False
2018-06-10,13,False
2018-06-17,13,False
2018-06-24,14,False
2018-07-01,14,False
2018-07-08,13,False
2018-07-15,19,False
2018-07-22,0,False
2018-07-29,29,False
2018-08-05,15,False
2018-08-12,22,False
2018-08-19,14,False
2018-08-26,14,False
2018-09-02,14,False
2018-09-09,42,False
2018-09-16,14,False
2018-09-23,14,False
2018-09-30,14,False
2018-10-07,28,False
2018-10-14,14,False
2018-10-21,14,False
2018-10-28,0,False
2018-11-04,13,False
2018-11-11,20,False
2018-11-18,13,False
2018-11-25,18,False
2018-12-02,13,False
2018-12-09,13,False
2018-12-16,14,False
2018-12-23,16,False
2018-12-30,14,False
2019-01-06,26,False
2019-01-13,13,False
2019-01-20,19,False
2019-01-27,13,False
2019-02-03,13,False
2019-02-10,13,False
2019-02-17,26,False
2019-02-24,13,False
2019-03-03,13,False
2019-03-10,13,False
2019-03-17,13,False
2019-03-24,27,False
2019-03-31,39,False
2019-04-07,13,False
2019-04-14,15,False
2019-04-21,21,False
2019-04-28,13,False
2019-05-05,13,False
2019-05-12,27,False
2019-05-19,13,False
2019-05-26,18,False
2019-06-02,22,False
2019-06-09,0,False
2019-06-16,13,False
2019-06-23,13,False
2019-06-30,0,False
2019-07-07,26,False
2019-07-14,28,False
2019-07-21,15,False
2019-07-28,14,False
2019-08-04,15,False
2019-08-11,14,False
2019-08-18,14,False
2019-08-25,13,False
2019-09-01,13,False
2019-09-08,20,False
2019-09-15,13,False
2019-09-22,19,False
2019-09-29,22,False
2019-10-06,13,False
2019-10-13,13,False
2019-10-20,30,False
2019-10-27,38,False
2019-11-03,20,False
2019-11-10,18,False
2019-11-17,18,False
2019-11-24,0,False
2019-12-01,20,False
2019-12-08,12,False
2019-12-15,20,False
2019-12-22,21,False
2019-12-29,27,False
2020-01-05,29,False
2020-01-12,0,False
2020-01-19,16,False
2020-01-26,17,False
2020-02-02,17,False
2020-02-09,11,False
2020-02-16,12,False
2020-02-23,26,False
2020-03-01,45,False
2020-03-08,64,False
2020-03-15,99,False
2020-03-22,39,False
2020-03-29,38,False
2020-04-05,34,False
2020-04-12,62,False
2020-04-19,60,False
2020-04-26,100,False
2020-05-03,74,False
2020-05-10,50,False
